「……私に何か？」	「嗯？谁在呼唤我？」
「ふふ♪　良く来てくれたな%ANAME(MASTER)%」	「fufu♪ 可算来了啊%ANAME(MASTER)%」
「悪いが今日一日付き合っておくれ。%ANAME(MASTER)%といると楽しい気分になるんだ」	「不好意思，请陪我今天一天。和%ANAME(MASTER)%在一起的时候心情会很愉快。」
「やあ、%ANAME(MASTER)%」	「呀，%ANAME(MASTER)%」
「…言っておくが、身体は許しても心まで許したわけではないからな」	「……我先声明，虽然你得到了我的身体，但并没有得到我的心。」
心なしか、ほんのり顔が赤いような……	也许是心理作用吧，脸稍微红了点……
「あ…おはよう%ANAME(MASTER)%。会いたかったぞ」	「啊…早上好%ANAME(MASTER)%。真想见你啊」
「おはよう%ANAME(MASTER)%。今日は買い物に付き合ってもらいたいんだが」	「早上好%ANAME(MASTER)%。今天想请你陪我去买东西」
「あ、おはよう%ANAME(MASTER)%。出かけるにはいい天気だな」	「啊，早上好%ANAME(MASTER)%。今天是个出门的好天气啊」
「おはよう%ANAME(MASTER)%。では今日も行こうか」	「早上好%ANAME(MASTER)%。那么今天也出去吧」
「やあ、%ANAME(MASTER)%。待っていたよ♥」	「啊啦，%ANAME(MASTER)%。我一直在等着你♥」
%ANAME(TARGET)%はなにやら上機嫌だ。心なしか、ほんのり顔が赤いような……	%ANAME(TARGET)%总觉得心情很好。也许是心理作用吧，脸有点红……
「やあ、%ANAME(MASTER)%。今日もいい天気だな」	「啊啦，%ANAME(MASTER)%。今天天气真好啊」
「やあ、%ANAME(MASTER)%。今日は買出しに付き合ってくれないか？」	「啊啦，%ANAME(MASTER)%。今天能陪我去买东西吗？」
「おはよう、%ANAME(MASTER)%。今日は何をするんだい？」	「早上好，%ANAME(MASTER)%。今天做什么？」
「やあ、%ANAME(MASTER)%殿。本日はどのような用件で？」	「啊，%ANAME(MASTER)%阁下。今天有什么事？」
「…なぁ、%ANAME(MASTER)%」	「…呐，%ANAME(MASTER)%」
初めて身体を重ねた後、%ANAME(TARGET)%は%ANAME(MASTER)%の手を両手で包むように手に取って話す	第一次身体重叠后，%ANAME(TARGET)%用双手握住%ANAME(MASTER)%的手说道
「ここまでしたからには…私のこと、一生大切にしておくれ…♥」	「既然做到了这一步…请一生珍惜我…♥」
その後二人は、互いに抱き合うようにして眠りについた	之后两个人相拥而眠了
（私が身体まで許すとは、な……）	（我竟然连身体都允许了，真是的……）
「橙に示しがつかないな、こんなザマでは…」	「不能作为橙的榜样了，这样的话…」
「%ANAME(MASTER)%、ちょっと」	「%ANAME(MASTER)%，唔....」
%ANAME(TARGET)%に呼ばれて%ANAME(MASTER)%が振り返ると、キスで唇をふさがれた	%ANAME(MASTER)%被%ANAME(TARGET)%所唤，回头一看，被堵住了嘴唇
「ん……。お別れのキスだよ、気をつけて帰るんだぞ♥」	「嗯……。离别之吻啊，回去的时候要小心哦♥」
突然のキスと妖艶な微笑みに、%ANAME(MASTER)%はドキドキしている…	突然的吻和妖艳的微笑，让%ANAME(MASTER)%怦然心动…
%ANAME(TARGET)%は%ANAME(MASTER)%の肩に頭をのせた	%ANAME(TARGET)%把头放在%ANAME(MASTER)%的肩上
「…もう少しこのままでいさせてくれ…」	「…再让我待一会儿吧…」
「お前となら、もっと先まで…い、いや、何でもない！」	「和你在一起的话，再往前走一点也…不，不，没什么！」
%ANAME(TARGET)%は慌てて手を振り別れた。帰り際、少し顔が赤かったような…	%ANAME(TARGET)%慌张地挥手告别。回去的时候，脸有点红…
%ANAME(TARGET)%は唇に指を当て、少々呆けていたがすぐに平静を取り戻した	%ANAME(TARGET)%把手指贴在嘴唇上，有点呆了，但很快又恢复了平静
「ちゅ…♥　今日もお疲れ様、%ANAME(MASTER)%」	「唔…♥ 今天也辛苦了，%ANAME(MASTER)%」
%ANAME(TARGET)%に抱きしめられ、優しいキスで唇をふさがれた	被%ANAME(TARGET)%拥抱，用温柔的吻堵住了嘴唇
「ふふ、お休みのキス。そっちからもしてほしいな…♥」	「呵呵，是离别的吻哦。希望下次再从你那得到回吻啊…♥」
甘えるような仕草と妖艶な微笑みのコンボに、%ANAME(MASTER)%はキュンとしてしまった	撒娇似的动作和妖艳的微笑的组合，让%ANAME(MASTER)%怦然心动
「それじゃあ、また明日…かわいい私の旦那様♥」	「那么，明天见…我心爱的夫君♥」
「もうこんな時間なのか…じゃあ、%ANAME(MASTER)%。私は今日お前の部屋で一緒に寝ることにするよ」	「已经这个时间了吗…那么，%ANAME(MASTER)%。我决定今天在你的房间一起睡」
「ん？　何でわざわざって？　まったく、愛する旦那様を一人寂しく寝させるわけないだろう？」	「嗯？为什么特意？真是的，怎么可能让我心爱的夫君一个人寂寞地睡呢？」
%ANAME(TARGET)%は自慢の尻尾を%ANAME(MASTER)%に絡ませながら抱きついてきた	%ANAME(TARGET)%用自己引以为豪的尾巴缠着%ANAME(MASTER)%抱了过来
「…それに、そうすれば朝起きたとき、一番に%ANAME(MASTER)%の顔を見れるから…な♥」	「…而且，这样早上起来的时候，就能最先看到%ANAME(MASTER)%的脸了…♥」
「今日も一日お疲れ様、%ANAME(MASTER)%。もう遅いし、今日は私の部屋で寝ていくといい」	「今天一天也辛苦了，%ANAME(MASTER)%。已经很晚了，今天睡在我的房间里就好了」
%ANAME(TARGET)%はそう言うと、九本の尻尾を%ANAME(MASTER)%の全身に絡める。極上の感触が身体を包んでいく…	%ANAME(TARGET)%这样说着，九条尾巴缠在了%ANAME(MASTER)%的全身上。极上的触感包裹着身体…
「添い寝で抱きしめながら、この尻尾で包んであげる。きっと気持ちいいぞ…♥」	「抱着你用尾巴裹着陪睡哦，一定很舒服哦…♥」
%ANAME(TARGET)%の柔らかな身体とふわふわの尻尾に包まれて、%ANAME(MASTER)%は夢心地で眠りについた…	在%ANAME(TARGET)%柔软的身体和飘乎乎的尾巴的包围下，%ANAME(MASTER)%在梦幻中睡着了…
「%ANAME(MASTER)%…今日もお疲れ様。カッコ良かったぞ…♥」	「%ANAME(MASTER)%…今天也辛苦了。太帅啊…♥」
%ANAME(TARGET)%は%ANAME(MASTER)%の頭を抱きかかえながら優しく頭を撫でている	%ANAME(TARGET)%抱着%ANAME(MASTER)%的头温柔地抚摸着
まるで子供をあやす様だが、%ANAME(TARGET)%の甘い香りと愛情が込められた撫で方に自然と意識が緩む…	简直就像是哄孩子的样子，但是在%ANAME(TARGET)%的甜蜜香气和充满爱情的抚摸中，自然地放松了意识…
「はああぁ…♥♥　すごくよかったよ%ANAME(MASTER)%♥」	「啊啊啊啊…♥♥真是太好了%ANAME(MASTER)%桑♥」
%ANAME(TARGET)%は愛欲に蕩けきった表情で、瞳に♥を浮かべなが%ANAME(MASTER)%に寄り添っている	%ANAME(TARGET)%用沉醉于爱欲的表情，在瞳孔中♥浮现在脑海中的是%ANAME(MASTER)%
「愛しい旦那様とのセックス。すごくキモチよくて、とても幸せなんだ…♥　これからも、いっぱい私を抱いておくれ♥」	「和心爱的夫君做爱。非常开心，非常幸福…♥今后也请多多抱我♥」
「今日も一日お疲れ様、%ANAME(MASTER)%♥　もう遅いし、今夜はこのまま、一緒に眠ろうか」	「今天一天也辛苦了，%ANAME(MASTER)%♥已经很晚了，今晚就这样一起睡吧」
「%ANAME(MASTER)%…今日もお疲れ様。とってもキモチ良かったぞ…♥」	「%ANAME(MASTER)%…今天也辛苦了。感觉非常棒呢…♥」
「ん？　寝ちゃいそう？　良いぞ、このまま添い寝してあげるから。…お休み、愛しい愛しい旦那様…♥」	「嗯？要睡了吗？好啊，就这样陪你睡吧。…晚安，我亲爱的夫君…♥」
「それじゃあ、また明日…。私の愛しい人…♥」	「那么，明天见…。我的爱人…♥」
「もうこんな時間なのか…じゃあ、%ANAME(MASTER)%。今日はお前の部屋で一緒に寝させて欲しいんだが…」	「已经这个时间了吗…那么，%ANAME(MASTER)%。今天我想和你一起睡在一起…」
「ん？　何でわざわざって？　まったく…、妾とは言え、愛する人と一緒にいたいと思うのは自然だろう？」	「嗯？为什么特意？真是…虽说是妾，但想和所爱的人在一起是理所当然的吧？」
「ん？　寝ちゃいそう？　良いぞ、このまま添い寝してあげるから。お休み……私の、大好きな人…♥」	「嗯？要睡了吗？好啊，就这样陪你睡吧。晚安……我最喜欢的人…♥」
「%ANAME(MASTER)%とのセックス、すごく幸せでとてもキモチいいんだ…♥　正妻のついででもいいから、これからもいっぱい私を抱いておくれ♥」	「和%ANAME(MASTER)%一起做爱，非常幸福，感觉非常好…♥即使是和正妻一起也可以，今后也请多多抱我♥」
「今日も一日お疲れ様、%ANAME(MASTER)%。もう遅いし、今夜はこのまま、一緒に眠ろうか」	「今天一天也辛苦了，%ANAME(MASTER)%。已经很晚了，今晚就这样一起睡吧」
「また逢いに来ておくれ。…ちゅ……待ってるからな♥」	「下次再相见吧。…唔……我会等你的♥」
「ふふ、お別れのキスだよ。そっちからもしてほしいな…♥」	「呵呵，是离别之吻哦。希望下次再从你那得到回吻啊……♥」
可愛らしい要求と妖艶な微笑みのギャップに、%ANAME(MASTER)%はドキドキしている…	可爱的要求和妖艳的微笑之间的反差，让%ANAME(MASTER)%怦然心动…
「%ANAME(MASTER)%が望むなら、私は何でもしてあげるから…」	「如果是%ANAME(MASTER)%希望的话，我什么都会为你做…」
「何にも遠慮しなくてもいいんだぞ？　ふふ♥♥」	「不用客气哦？fufu♥♥」
%ANAME(TARGET)%は妖艶な笑みを%ANAME(MASTER)%に向けた	%ANAME(TARGET)%带着妖艳的笑容转向了%ANAME(MASTER)%
「%ANAME(MASTER)%、今日は泊まっていかないか？　なあ、いいだろう？」	「%ANAME(MASTER)%，今晚就住这吧？呐，可以吧？」
%ANAME(TARGET)%はそう言うとモフモフの尻尾で%ANAME(MASTER)%の全身を揉みくちゃにしてきた。極上の感触が身体を包む…	%ANAME(TARGET)%这样说着，用蓬松柔软的尾巴揉着%ANAME(MASTER)%的全身。极上的触感包裹着身体…
「泊まっていけば…この自慢の尻尾で色々楽しませてあげるぞ♥」	「如果住在这的话……用这个引以为豪的尾巴让你享受各种各样的乐趣哦~♥」
妖艶な微笑みと極上のモフモフ攻撃に屈し、%ANAME(MASTER)%はお泊りを決めた…	屈服于妖艳的微笑和赛高的尾巴攻击、%ANAME(MASTER)%决定留宿了…
「また抱いておくれ。…ちゅ……待ってるからな♥」	「请再紧抱点。…唔……我会等你的♥」
「ふふ、お休みのキスだよ。そっちからもしてほしいな…♥」	「fufu，离别之吻。希望下次再从你那得到回吻啊…♥」
「あぁ…♥　とてもよかったよ%ANAME(MASTER)%♥」	「啊…♥真是太好了%ANAME(MASTER)%♥」
「お前とセックスしていると、何だか幸せな気分になるんだ…これからも、いっぱい私を抱いておくれ♥」	「和你做爱的话，总觉得会变得幸福…今后也请多多抱我♥」
「%ANAME(MASTER)%、今夜は私と一緒の布団で眠らないか？　なあ、いいだろう？」	「%ANAME(MASTER)%、今晚就大被同眠吧？呐，可以吧？？」
「そうすれば…この自慢の尻尾で色々楽しませてあげるぞ♥」	「如果这样的话……用这个引以为豪的尾巴让你享受各种各样的乐趣哦~♥」
妖艶な微笑みと極上のモフモフ攻撃に屈し、%ANAME(MASTER)%は同衾を決めた…	屈服于妖艳的微笑和赛高的尾巴攻击、%ANAME(MASTER)%决定一起睡了了…
「また、逢いに来て…。……待ってるから」	「再来见我哦……我等着你」
%ANAME(TARGET)%は寂しそうな顔をしていたが、%ANAME(MASTER)%が次回の約束をすると笑顔を取り戻してくれた	虽然%ANAME(TARGET)%看起来很寂寞，但是在%ANAME(MASTER)%下次的约定下恢复了笑容
「楽しい時間はすぐ過ぎていってしまうな」	「幸福的时光转眼而逝」
「%ANAME(MASTER)%とはもっと一緒に居たいのに…、ままならないなぁ」	「明明想和%ANAME(MASTER)%一直在一起呢…真是不如意啊…」
「今生の別れでもないのに…、何でこんなに名残惜しいんだろうな…」	「明明不是生离死别……为什么这么恋恋不舍呢…」
%ANAME(TARGET)%は%ANAME(MASTER)%の袖を掴んでいたが、すぐに離して寂しそうな笑顔で別れた	%ANAME(TARGET)%抓住了%ANAME(MASTER)%的袖子，但是马上带着寂落的笑容分开了
「また、抱いてくれ。……待ってるから」	「下次相见时再抱紧我哦……我等着你」
「はぁ…♥　よかったよ%ANAME(MASTER)%。…でも、もう時間なんだな」	「哈…♥ 沉迷了呢%ANAME(MASTER)%。…但是，已经到时间了」
「普段は寂しい思いをするところだが…今日は一緒に寝れるから寂しくないよ…♥」	「虽然平时有点寂寞…今天能一起睡所以不寂寞…♥」
「…もう時間か？　この夜が終わるのが名残惜しいな…」	「…时间到了吗？这个夜的结束真令人恋恋不舍…」
「%ANAME(MASTER)%、今度もまた抱いておくれ。今日よりずっと長く、激しく…な♥」	「下次也请再拥抱我。比今天更长，更激烈…哈呜♥」
「お疲れ様、後はゆっくりするとしようか」	「辛苦了，之后好好休息吧」
「ふふ♪　……あ、もうこんな時間か」	「fufu♪……啊，已经这个时间了」
「%ANAME(MASTER)%といると、時間が早く過ぎていく気がするよ」	「和%ANAME(MASTER)%在一起的话，感觉时间过得很快」
「だんだん%ANAME(MASTER)%のことが分かってきた気がするよ」	「我觉得我渐渐明白了%ANAME(MASTER)%的事情」
「意外な一面もあるものだな。ふふふ」	「也有意外的一面呢。fufufu」
「今日もお疲れ様。気をつけて帰るんだぞ」	「今天也辛苦了。回去的时候要小心啊」
%ANAME(TARGET)%は微笑みながら手を振り、%ANAME(MASTER)%を見送った	%ANAME(TARGET)%微笑着挥手，目送着%ANAME(MASTER)%
%ANAME(TARGET)%から、なにやら熱っぽい視線を送られている	%ANAME(TARGET)%投来了热情的目光相送
「それじゃあ、これで」	「那就这样吧」
「愛する旦那様のためならどこへでも♥」	「为了所爱的夫君，无论去哪里都可以♥」
「ふふっ♥　たまには妾も可愛がっておくれ♥」	「fufu♥ 偶尔也宠爱一下妾身吧♥」
「愛する%ANAME(MASTER)%のためならどこへでも♥」	「为了所爱的%ANAME(MASTER)%无论到哪里都行♥」
「ふふ、お呼びかな♥」	「fufu，在叫我是吧♥」
「お呼びでしょうか」	「您在叫我吧」
「お呼びですか？」	「您叫我吗？」
「ハァ、ハァ…すまない…、む、夢中になりすぎた…」	「哈，哈…对不起…嗯，太入迷了…」
「愛しい旦那様とのセックス。とても幸せで、すごくキモチいいんだ…♥　これからも、いっぱい私を抱いておくれ♥」	「和心爱的夫君做爱。非常幸福，非常舒服哦…♥ 今后也请多多抱我♥」
「%ANAME(MASTER)%、今夜は泊まっていかないか？　なあ、いいだろう？」	「%ANAME(MASTER)%，今晚要不要留宿？呐，好吧？」
「%ANAME(MASTER)%とはもっと一緒に居たいのに…、ままならないなぁ…」	「明明想和%ANAME(MASTER)%更多地在一起…真不如意啊…」
「ふふ。…好きな人とのキスって、どうしてこんなに甘いんだろうな…♥」	「fufu…和喜欢的人接吻，为什么会这么甜呢…♥」
「ん、むっ……口付け、初めてだったんだが…どうだ？」	「嗯，呜……第一次接吻…感觉如何？」
「んん…♥……はぁっ」	「唔…♥…嗯…哈~」
「こうして裸で抱き合ってのキスは、服を着ている時とはまた違った感覚だな♥」	「像这样裸着拥吻，感觉和穿着衣服的时候不一样啊♥」
「%ANAME(MASTER)%をより深く感じられる…そんな気がするよ♥」	「能更深刻的感受到%ANAME(MASTER)%…我有那种感觉♥」
「やはりこうして重ねあうだけで、凄く安心する…♥」	「果然只是这样相拥，就非常安心了……♥」
愛する%ANAME(MASTER)%とだからな…と%ANAME(TARGET)%はその後に続けるように耳元で囁いた	爱你呦%ANAME(MASTER)%...%ANAME(TARGET)%在耳边喃喃道
「ふふ…愛する人とのキスって、どうしてこんなに幸せになるんだろうな…　もっとしておくれ♥」	「fufu…只是和所爱的人相吻，为什么会变得如此幸福呢……再给我一点~♥」
「んん………はぁっ」	「唔……哈~」
「こうして裸で抱き合ってのキスは、服を着ている時とはまた違った感覚だな…」	「像这样裸着拥吻，感觉和穿着衣服的时候不一样啊…」
「%ANAME(MASTER)%をより近くで感じられる…そんな気がする♥」	「感觉能更亲近%ANAME(MASTER)%啊...有那种感觉♥」
「やはりこうして重ねあうだけで、凄く安心した気分になれる…♥」	「果然只要这样重叠在一起，就会变得非常安心…♥」
お前だからな…と%ANAME(TARGET)%はその後に続けるようにつぶやいた	因为是你啊…%ANAME(TARGET)%在那之后嘟囔着
「ふふ…好きな人とのキスって、どうしてこんなに甘いんだろうな…♥」	「呵呵…和喜欢的人接吻，为什么会这么甜呢…♥」
「ん、んむっ…」	「嗯，嗯...唔…」
「ふふ…。好きな人とのキスって、どうしてこんなに幸せに感じるんだろうな…♥」	「呵呵…和喜欢的人接吻，为什么会这么幸福呢…♥」
「ん、むっ……一応、初めての口付けだったんだが…」	「嗯，呜……虽然是第一次接吻…」
「フフッ…好きな人とのキスって、どうしてこんなに甘いんだろうな…♥」	「呵呵…和喜欢的人接吻，为什么会这么甜呢…♥」
「ん…あっ♥」	「嗯…啊♥」
「ん…あっ」	「唔……哈~」
「んんっ……はぁ♥」	「嗯……哈♥」
「あっ♥…んんっ」	「啊♥…嗯，嗯」
「んんっ……はぁ」	「嗯……哈~」
「あっ…んんっ」	「啊…嗯...唔」
「私のおっぱい…触っていいぞ♥」	「我的欧派…可以摸哦♥」
「あんっ……はぁ」	「嗯……哈~」
「ん…あぁっ♥」	「嗯…啊啊啊♥」
「あんっ♥……はぁ♥」	「嗯♥……哈♥」
「ふあぁっ♥…んっ♥」	「啊啊啊啊♥…嗯♥」
「ん…あぁっ！」	「嗯…啊啊！」
「あんっ……はぁ♥」	「嗯……哈♥」
「ふっ！　…んんっ！」	「呼！　…嗯！」
「ん…あぁっ」	「嗯…啊啊啊」
「ふっ！　…んんっ」	「呼！　…嗯，呜~」
「ふっ！　…んんっ♥」	「呼！　…啊，嗯♥」
「あっ♥……んんっ！」	「啊♥……嗯！」
「ん…あぁっ！　そこ…っ♥」	「嗯…啊啊！那里…嗯♥」
「あっ♥……んんっ♥」	「啊♥……嗯，嗯♥」
「ふあぁっ♥…ああっ♥」	「啊啊啊啊♥…啊啊♥」
「ん…あぁっ！　そこ…っ！」	「嗯…啊啊！那里…嘿！」
「ふあぁっ！　…ああっ♥」	「啊啊啊！　…啊啊♥」
「あっ……んんっ！」	「啊……嗯！」
「ふあぁっ！」	「啊啊嗯！」
「ん…あぁっ！そこ…っ♥」	「嗯…啊啊！那里…嗯♥」
「ん…あぁっ！　そこっ♥」	「嗯…啊啊！那里，那里♥」
「あっ♥……はぁっ♥」	「啊♥……哈♥」
「ん…あぁっ！　そこっ！」	「嗯…啊呜！ 那里！」
「あっ！　……はぁっ♥」	「啊！　……哈~♥」
「ふっ！…んんっ」	「呼！…啊，嗯」
「あっ♥　……はぁっ♥」	「啊♥　……哈♥」
「あっ♥　……んんっ！」	「啊♥　……嗯！」
「そんなとこ……はぁんっ♥」	「那样的地方……哈呜~♥」
「そんなとこ…んっ」	「那样的地方…嗯~」
「んん…あっ♥」	「嗯…啊♥」
「あっ♥　…んんっ」	「啊♥　…唔，嗯」
「そんなとこ…んんっ♥」	「那样的地方…呜，嗯♥」
「あっ…んんっ♥」	「啊…嗯，嗯♥」
「んん…あっ！」	「嗯…啊！」
「あっ…んんっ！」	「啊…嗯！」
「あっ…んっ」	「啊…嗯」
「ふあぁっ♥…んっ♥　私の乳首、おいしいか？　ふふ♥」	「唔啊啊啊♥…嗯~♥我的乳头好吃吗？ fufu♥」
%ANAME(TARGET)%は自分の乳首に吸い付く%ANAME(MASTER)%の頭を優しくかき抱いている	%ANAME(TARGET)%温柔地搂着吸着自己乳头的%ANAME(MASTER)%的头
「あっ♥…んんっ♥　ふふ♥　可愛いなぁ%ANAME(MASTER)%は」	「啊♥…嗯，嗯♥ fufu♥ 真可爱啊%ANAME(MASTER)%桑」
自分の乳首に吸い付く%ANAME(MASTER)%の頭を、%ANAME(TARGET)%は我が子のように優しく抱いている	%ANAME(TARGET)%像看着自己的孩子一样温柔地抱着吸着自己乳头的%ANAME(MASTER)%的头
%ANAME(TARGET)%は自分の乳首に吸い付く%ANAME(MASTER)%の頭を強く抱きしめている	%ANAME(TARGET)%紧紧抱住吸着自己乳头的%ANAME(MASTER)%的头
「はぁあっ♥　もっと私の匂いを吸い込んで…もっと乳首吸ってぇ♥」	「啊嗯♥　再多吸点我的味道…再多吸吸乳头吧♥♥」
「はぁあっ♥　もっと%ANAME(TARGET)%のおっぱい吸ってぇ♥」	「啊啊啊啊♥ 再多吸点%ANAME(TARGET)%的乳房吧♥」
「んっ♥　私の乳首、おいしいか？　ふふ♥」	「啊♥…嗯♥ 我的乳头好吃吗？呼呼♥」
「あっ♥…んんっ♥　ふふ、可愛いやつだなぁ%ANAME(MASTER)%は…」	「啊♥…嗯，嗯♥ 呵呵，真是个可爱的家伙啊%ANAME(MASTER)%桑…」
「あぁっ♥　もっと私のおっぱい吸っていいぞ…♥」	「啊嗯♥　可以再多吸吸我的乳房哦…♥」
「お、お前も“初めて”なのか？　…それじゃあ、お互いが最初の相手になるんだな…♥」	「呼，你也是第一次吗？　…那样的话，双方都会成为第一次的对象吧…♥」
「私の…%ANAME(TARGET)%の処女、もらっておくれ♥」	「我的…%ANAME(TARGET)%的纯洁，请夺走吧♥」
「お前も“初めて”なのか？　…まあ、誰でも最初は初めてだもんな」	「你也是第一次吗？　…嘛，谁开始都是第一次呢」
「初めてなんだ、優しくしておくれよ？」	「这是第一次，请温柔一点吧？」
「なんだ、“初めて”なのか？　…それじゃあ、私がお前の初めての女になるんだな…♥」	「什么，是第一次吗？　…那我就成为你的第一个女人吧…♥」
「そういうことなら優しくリードしてあげるからな…。さあ、こっちへおいで…♥」	「如果是那样的话，我会温柔地引导你的…。来，这边来…♥」
「さあ、お前のをおくれ♥」	「来，放心交给我♥」
「なんだ、童貞なのか？　ならば少しは優しくしてやろう」	「什么嘛，是处男吗？那么就温柔一点吧」
「優しくしておくれ」	「请温柔一点」
「ああっ♥　%ANAME(MASTER)%っ♥　もっと来てっ♥　%ANAME(TARGET)%を犯してぇっ♥♥」	「啊啊啊♥　%ANAME(MASTER)%~♥　再来更多♥　再狠狠地侵犯%ANAME(TARGET)%吧♥♥」
%ANAME(TARGET)%は目に♥を浮かべて%ANAME(MASTER)%の腰に脚を絡めて放さないようにしている	%ANAME(TARGET)%的眼里浮现着♥，双腿紧紧缠着%ANAME(MASTER)%的腰不放
「いっぱい私を愛しておくれ、%ANAME(MASTER)%♥」	「请多多爱我~%ANAME(MASTER)%♥」
%ANAME(TARGET)%は目に♥を浮かべて%ANAME(MASTER)%に抱きついている	%ANAME(TARGET)%的眼里浮现着♥,软倒在%ANAME(MASTER)%的怀中
「ああっ♥　%ANAME(MASTER)%っ♥　もっと来てっ♥♥」	「啊啊啊♥　%ANAME(MASTER)%~♥　再来更多♥♥」
%ANAME(TARGET)%は蕩けた顔で%ANAME(MASTER)%の腰に脚を絡めて放さないようにしている	%ANAME(TARGET)%一脸迷醉，双腿紧紧缠着%ANAME(MASTER)%の的腰不放
「もっと私を愛して…、%ANAME(MASTER)%♥」	「请多多爱我…、%ANAME(MASTER)%♥」
%ANAME(TARGET)%は蕩けた表情で%ANAME(MASTER)%に抱きついている	%ANAME(TARGET)%带着迷醉的表情抱住了%ANAME(MASTER)%
「お前も“初めて”なのか？　…まあ、焦らずにな」	「你也是第一次吗？　…啊，不要着急」
「なんだ、童貞だったのか？　…それは責任重大だな」	「什么啊，原来是处男啊？　…那是责任重大啊」
「何せお前の…“初めて”を貰う女になるわけだからな…♥」	「怎么说呢，毕竟是成为你第一次对象的女人呢…♥」
「なんだ、童貞なのか？　…なら、過度な期待はしないようにしておくよ」	「什么啊，是处男吗?……那我就不要抱太大的期待了」
「お前も“初めて”なのか？　…もうちょっとやりやすい体位の方が良かったか？」	「你也是“第一次”吗?……稍微容易一点的体位比较好吗?」
そう言って%ANAME(TARGET)%は、見目麗しいふさふさの尻尾を%ANAME(MASTER)%に絡ませながら桃尻を突き出した	这样说着，%ANAME(TARGET)%一边用美丽的毛茸茸的尾巴缠着%ANAME(MASTER)%，一边拱起了桃尻引导着
「さあ、お前のをもらうぞ♥」	「来，就这样动起来♥」
「尻尾も優しくしておくれよ」	「尾巴也要温柔地对待哦」
「ああっ♥　%ANAME(MASTER)%っ♥　もっと来てっ♥　%ANAME(TARGET)%を%ANAME(MASTER)%のモノにしてぇっ♥♥」	「啊啊啊♥　%ANAME(MASTER)%~♥　再来更多♥　把%ANAME(TARGET)%变成%ANAME(MASTER)%的东西吧♥♥」
%ANAME(TARGET)%は目に♥を浮かべて%ANAME(MASTER)%の腰に尻尾を絡めて放さないようにしている	%ANAME(TARGET)%的眼里浮现着♥，尾巴紧紧缠着%ANAME(MASTER)%的腰不放
「いっぱい私を犯してっ♥　%ANAME(MASTER)%のモノにしておくれっ♥♥」	「再更多地侵犯我吧♥　让我变成%ANAME(MASTER)%的东西吧♥♥」
%ANAME(TARGET)%は目に♥を浮かべて%ANAME(MASTER)%に腰を突き出している	%ANAME(TARGET)%的眼里浮现着♥，在%ANAME(MASTER)%上耸动着腰
%ANAME(TARGET)%は蕩けた顔で%ANAME(MASTER)%の腰に尻尾を絡めて放さないようにしている	%ANAME(TARGET)%是一副淫荡的样子，在%ANAME(MASTER)%的腰上缠着尾巴不放
%ANAME(TARGET)%は蕩けた表情で%ANAME(MASTER)%に腰を突き出している	%ANAME(TARGET)%摆着淫荡的表情，在%ANAME(MASTER)%前耸动着腰
「何せお前の…“初めて”を貰う女になるわけだからな。さあ、おいで…♥」	「怎么说呢，毕竟是要成为你第一次对象的女人呢。来，来吧…♥」
「さあ、私の傍へおいで…。私が優しく包んで、童貞卒業させてあげるからな♥」	「来，到我身边来…。我会温柔地待你，让你童贞毕业的♥」
「ふふ…、お前の顔が良く見える♥」	「fufu…你的脸看起来很舒服的样子♥」
「ああっ♥　%ANAME(MASTER)%っ♥　胸もっ♥胸もしてぇっ♥♥」	「啊呜♥　%ANAME(MASTER)%~♥　胸部那里♥欧派那...啊...♥♥」
%ANAME(TARGET)%は目に♥を浮かべて%ANAME(MASTER)%の身体に抱きついて放さないようにしている	%ANAME(TARGET)%的眼里浮现着♥，紧紧抱着%ANAME(MASTER)%的身体不放
「いっぱい突いてっ♥　%ANAME(MASTER)%のモノにしておくれっ♥♥」	「满满的进来吧♥ 要变成%ANAME(MASTER)%の东西了♥♥」
%ANAME(TARGET)%は目に♥を浮かべて腰をくねらせ、%ANAME(MASTER)%に快感を与えている	%ANAME(TARGET)%的眼里浮现着♥扭动着腰，给予着%ANAME(MASTER)%无上的快感
「あっ♥　腰っ動いちゃうっ♥」	「啊♥　腰动起来了~♥」
%ANAME(TARGET)%は蕩けた顔で%ANAME(MASTER)%の身体に抱きついて放さないようにしている	%ANAME(TARGET)%一脸迷醉，紧紧地抱着%ANAME(MASTER)%的身体不放
「もっと抱きしめておくれっ%ANAME(MASTER)%っ♥」	「请更多地拥抱我吧%ANAME(MASTER)%~♥」
%ANAME(TARGET)%は蕩けた顔で腰をくねらせ、%ANAME(MASTER)%に快感を与えている	%ANAME(TARGET)%一副迷醉的样子扭动着腰、给予着%ANAME(MASTER)%快感
「なんだ、童貞だったのか？　…それじゃあ私が、お前の“初めて”になれるんだな…♥」	「什么啊，原来是处男啊？　…那我就成为你的"第一次"了吧…♥」
「さあ、こっちへ…。ぎゅぅ、っと抱きしめながら%ANAME(MASTER)%の童貞をおくれ…♥」	「来，这边…。紧紧抱着我，把%ANAME(MASTER)%的处男交给我吧…♥」
「ぎゅっと抱きしめておくれ♥」	「请紧紧拥抱我♥」
「なんだ、“初めて”なのか？　…ふふ、それは責任重大だ」	「什么啊，是第一次吗？　…fufu，那还真是是责任重大」
「それじゃあ優しくリードしてあげるからな…。さあ、尻尾の中へおいで…♥」	「那我就温柔地引导你吧…。来，到尾巴这里来…♥」
