「っ！！　…………ほ、本気か？　%ANAME(MASTER)%……」	「！！…………这是...真的吗？%ANAME(MASTER)%……」
%ANAME(TARGET)%「お帰り、%ANAME(MASTER)%。お風呂の準備は出来ているがどうする？」	%ANAME(TARGET)%「欢迎回来、%ANAME(MASTER)%。浴室已经准备好了，要怎么办？」
%ANAME(TARGET)%「九尾の力でも簡単には行かんな…」	%ANAME(TARGET)%「用九尾的力量也不能轻易解决啊…」
%ANAME(TARGET)%「世を治めるというのは一筋縄では行かないものだな…」	%ANAME(TARGET)%「所谓治世，用普通的办法是不行的…」
%ANAME(TARGET)%「%ANAME(MASTER)%に会えない間……寂しかったよ」	%ANAME(TARGET)%「在见不到%ANAME(MASTER)%的期间……好寂寞啊」
%ANAME(TARGET)%「%ANAME(MASTER)%、お帰りなさい。そっちはどうだった？」	%ANAME(TARGET)%「%ANAME(MASTER)%、欢迎回来。那边状况如何？」
%ANAME(TARGET)%「%ANAME(MASTER)%、お帰りなさい。しばらくはゆっくり出来そうだな」	%ANAME(TARGET)%「%ANAME(MASTER)%、欢迎回来。看来可以暂时缓一缓了」
%ANAME(TARGET)%「怪我は無いか？　そうか…お前がちゃんと帰ってきて良かったよ」	%ANAME(TARGET)%「没有受伤吧？是吗…你能好好回来真是太好了……」
%ANAME(TARGET)%「ふう…、帰って来れたか」	%ANAME(TARGET)%「嗯…你回来了吗」
%ANAME(TARGET)%「世を治めるというのは一筋縄では行かないものだな」	%ANAME(TARGET)%「用普通的办法是无法治世的」
%ANAME(TARGET)%「徴兵に治安維持に資金調達…。帰ってからも忙しくなりそうだ」	%ANAME(TARGET)%「为征兵和维持治安要筹措资金…。回去以后也要忙起来呢」
「は、はい…。…私は、貴方に忠誠を誓います…」	「好的，是……我向你效忠…」
「だ、誰が…そんな…っ」	「啊…这样啊…还不行」
「うむ、分かった。これからよろしく頼むぞ」	「嗯，知道了。今后请多关照」
「すまない。そう易々と決めるわけにはいかないんだ」	「对不起。这事不能那么轻松地决定」
「……分かった。これからよろしく頼む」	「……知道了。今后请多关照」
「…この程度で心変わりすると思うか？」	「…你觉得这样会变心吗？」
（…式神である私が、こんな感情を持つなんて…）	（…身为式神的我，竟然有这样的感情…）
「でもこの気持ちは偽物じゃない……そうだよな、%ANAME(MASTER)%……」	「但是这份心情并不是假的……是啊，%ANAME(MASTER)%……」
（%ANAME(MASTER)%のためなら何でも出来そうだ…これが仁の心というものだろうか…）	（为了%ANAME(MASTER)%的话好像什么都会做…这就是仁心吗…）
（…私がこんなにも誰かに惚れ込むだなんてな…）	（…我怎么会这么迷恋他人呢…）
（でも嫌じゃない……むしろとても幸せな気持ちだ…ああ、これが…）	（但是并不讨厌这样……倒不如说是非常幸福的心情…啊，这是…）
（『愛する』ってことなんですね…紫様…）	（这就是所谓的"爱"吧…紫大人…）
「もっと、もっとシてぇっ♥　キモチいいのがっ♥止まらないぃ♥♥」	「还要、还要更多♥　好舒服~♥停不下来啊♥♥」
%ANAME(TARGET)%はもはや、性交に一切の抵抗を感じていない。	%ANAME(TARGET)%已经对性交没有任何抵抗了。
それどころかさらに快感を貪るため、自らより激しく腰を振っている	不仅如此，为了更加贪图快感，她自己更激烈地摆动着腰
（こんなはしたない私でごめんよ、%ANAME(MASTER)%…。でも、もう自分を抑えられない！）	（这么失态…对不起，我是个淫荡的人，%ANAME(MASTER)%…但是，已经无法抑制自己了！）
「ああっ♥　キモチいいっ♥　キモチいいぃっ♥♥　キモチいいぃぃっ♥♥♥　もっと、もっとぉっっ♥♥♥♥」	「啊啊啊~♥　好舒服呀♥　真舒服呢♥♥　感觉太棒了♥♥♥　再来...更多~♥♥♥♥」
瞳に♥を浮かばせ、更なる快感を貪るために腰を浮かせる%ANAME(TARGET)%	瞳中的♥浮现着、为了贪图更进一步的快感而使之浮起腰的%ANAME(TARGET)%
滴り落ちるほど愛蜜を滴らせ、肉壷で肉棒を咥えこむその姿は	滴落的爱液流淌着，用肉壶吞没肉棒的淫态呈现着
誇りある式神のそれではなく、愛欲に溺れる九尾の獣そのものだった……	不再是自高自傲的式神、而是沉迷于爱欲的九尾之兽……
「ああっ♥　クリだめぇっ♥♥　頭バカになっちゃうぅ♥♥」	「啊啊啊~♥　阴蒂那不行...♥♥　脑袋快变成⑨了♥♥」
数々の快感によって開発されきった%ANAME(TARGET)%のクリトリスは	受到了无数快感而被开发的%ANAME(TARGET)%的阴蒂
尋常でない快楽で脳を蕩かす淫核と化した	因为异常的快乐而化为淫核
「あっ♥ああっ♥♥ダメぇっ♥♥　クリいじっちゃダメぇっ♥♥　こわれちゃうからぁっ♥♥」	「啊♥嗯啊♥♥不行啊♥♥不能这样责弄那♥♥会坏掉的~~♥♥」
そう言いながら%ANAME(TARGET)%はクリへの責めを一切邪魔せず、瞳に♥を浮かばせて更なる快感を貪っている…	这样说着的%ANAME(TARGET)%对于阴蒂的刺激却完全没有抵抗、瞳中的♥浮现着贪图着更多的快感…
「ああっ♥♥　もっとっ♥♥もっと奥っ♥♥　奥まで犯してぇっ♥♥」	「啊啊啊♥♥更多~~♥♥再戳一点♥♥要侵犯到深处里~~♥♥」
数々の快感によって開発されきった%ANAME(TARGET)%の雌穴は、	受到了无数快感而被开发的%ANAME(TARGET)%的小穴
入り込んだ肉棒に吸い付き精液を搾り取ろうと蠢く淫壷と化した	化为了只为肉棒精液的淫壶
「チンポ…♥もっとチンポ…♥　チンポ突っ込んでぇっ♥♥♥」	「欧金金…♥还要欧金金…♥更多地突入里面吧♥♥♥」
瞳に♥を浮かばせ、肉棒をねだる%ANAME(TARGET)%	%ANAME(TARGET)%眼中浮现着♥渴求着肉棒
彼女はもはや、肉棒無しの生活など考えられない身体となった…	她的身体已经无法想象没有肉棒生活…
「ああっ♥♥もっとっ♥♥もっと突いてっ♥♥もっとズポズポしてぇっ♥♥」	「啊啊啊♥♥更多♥♥再戳一点♥♥再噗嗤噗嗤地插我吧♥♥」
本来知ることの無かった快感に晒され続けた%ANAME(TARGET)%の尻穴は	一直沉浸在一种从未有过的快感中,%ANAME(TARGET)%的尻穴
もはや巨根であっても躊躇無く咥え込み、快楽を貪る性感帯となった	即使是巨根也能毫不犹豫地叼入，成为贪图快乐的性感带
「あぁっ♥こんなっ♥お尻でぇっ♥ひあぁっ♥♥♥」	「啊♥就这样♥用屁穴~♥啊啊啊啊~~♥♥♥」
九本の尻尾を乱れさせながら瞳に♥を浮かばせ、蕩けきった表情を見せる%ANAME(TARGET)%	%ANAME(TARGET)%九尾胡乱扫动着眼中浮现着♥露出了淫荡的表情
彼女はもはや、立派な尻穴狂いとなった…	她已经成了优秀的菊穴狂…
「あぁっ♥♥　%ANAME(TARGET)%のおっぱいっ♥　もっと揉んでっ♥♥乳首イジってぇっ♥♥」	「啊嗯♥♥%ANAME(TARGET)%的欧派♥再多揉揉♥♥乳头要疯了啊啊啊~♥♥」
数々の快感によって開発されきった%ANAME(TARGET)%の胸は	受到了无数快感而被开发的%ANAME(TARGET)%的胸
愛撫を待ち望み、たやすく絶頂する淫乳と化した	渴望着爱抚，变成了能轻易达到顶点的淫乳
「はぁぁ…♥♥　もっと%ANAME(TARGET)%のおっぱい、めちゃくちゃにしてぇ♥♥」	「啊啊啊…♥♥　更多地蹂躏%ANAME(TARGET)%的欧派...让我变得乱七八糟吧♥♥」
%ANAME(TARGET)%は自らも胸を揉みしだき、さらなる快楽を貪っている…	%ANAME(TARGET)%自己也在揉胸，贪图着更进一步的快乐…
「ああ、もっと♥　もっと私を抱いてください♥」	「啊，更多♥请再多多抱我♥」
男を誘うような媚びた色気を振りまき、%ANAME(TARGET)%は更なる性交をねだる	散发着诱惑男人般的媚态，%ANAME(TARGET)%要求更进一步的性交
（大丈夫。これはお金の、軍資金のためだから…これは仕方ないことだから……♥♥）	（没关系。这是为了钱、军费的…这是没办法的事……♥♥）
%ANAME(TARGET)%は自らの行いを資金調達のためと言い聞かせ、はした金で下卑た輩に犯される背徳の快楽に溺れていった……	%ANAME(TARGET)%把自己的行为说成是为了筹措资金，沉溺在被下贱之辈侵犯的背德快乐中……
「ああっ♥　もっと突っこんでぇ♥　%ANAME(TARGET)%の奥で出してぇっ♥♥」	「啊啊啊♥　在深入些~♥在%ANAME(TARGET)%的里面尽情享受吧♥♥」
生ハメを繰り返した%ANAME(TARGET)%の肉壷は、生の肉棒に抉り突かれ、吐き出される精の虜となってしまった	重复抽插着%ANAME(TARGET)%的肉壶，被无套中出着，成为了精液的俘虏
もはや%ANAME(TARGET)%は、ゴム有りのセックスなど考えられないだろう……	%ANAME(TARGET)%已经无法想象带避孕套的性生活了吧……
「いくらでも♥　出していいぞ♥　ああっ♥　もっとっ♥　もっと出してぇっ♥　おまんこの奥に塗りこんでぇッ♥」	「全部都...♥....都射出来吧♥　啊啊♥　还要更多♥　再多多射在深处吧♥」
「%ANAME(MASTER)%、どうかしたのか？」	「%ANAME(MASTER)%，怎么了？」
%ANAME(MASTER)%は呼び出された%ANAME(TARGET)%と向かい合って指輪を差し出した	%ANAME(MASTER)%深情地凝望着被叫出来的%ANAME(TARGET)%，然后送出了戒指
「！！？　…っ…%ANAME(MASTER)%、これって…！」	「！！？…啊…%ANAME(MASTER)%、这是…！」
見たとおりの意味だ。受け取ってくれるだろうか	如你说见的意思，能接受吗？
「っ！　………そ、それじゃあ…駄目、だ…」	「呃！………那、那样子…不，不行…」
……駄目、とはこの気持ちを受けてはくれない、ということだろうか……	……不行么、也就是说不能接受我的这种心情吧……
「ち、ちがうっ！　そういうことじゃなくて！」	「不、不是的！不是那样的！」
%ANAME(TARGET)%は慌てた様子で%ANAME(MASTER)%の手を握る。その顔は真っ赤で、目元もうっすらと潤んでいた	%ANAME(TARGET)%看起来很慌张，急忙握着%ANAME(MASTER)%的手。那张脸通红，眼睛也微润着
「…確かに意味は解る。でもそれだけじゃなくて…。ちゃんと…%ANAME(MASTER)%の口から、言葉で伝えて欲しいんだ…」	「…确实收到了那份心情。但是不仅仅是这样…那个...想从%ANAME(MASTER)%口中听到...好好的表达出来...那个…」
普段の凛とした佇まいとは大違いの様子で弱々しく語り%ANAME(TARGET)%は俯く。…そういうことか。確かに誠意が足りなかった	和平时凛然的样子大不相同，低着头弱弱地说着的%ANAME(TARGET)%。…是这样吗！缺乏诚意是吗
%ANAME(MASTER)%は%ANAME(TARGET)%の手を取り、面と向かって再び告げる	%ANAME(MASTER)%握着%ANAME(TARGET)%的手，面对面再次告白着
%ANAME(TARGET)%のことを愛している。自分と結婚して欲しい。と……	我深爱着%ANAME(TARGET)%，想与之成婚，能答应我吗……
「………っ！！」	「………！！」
%ANAME(TARGET)%はその言葉を聞くと、感極まったように涙を流し%ANAME(MASTER)%に抱きついてきた	%ANAME(TARGET)%闻言，感动得抱住%ANAME(MASTER)%哭了出来
「%ANAME(MASTER)%っ…嬉しいっ…嬉しいよ！　%ANAME(MASTER)%…！」	「%ANAME(MASTER)%~…我好开心…好高兴！%ANAME(MASTER)%…！」
「ずっと不安だったんだ…、愛しているのは私だけなんじゃないかって……」	「我一直很不安…难道只有我在单相思吗……」
「でも、そうじゃなかったんだな……。私を、一人の女として愛してくれるんだな……っ」	「但是、并不是那样……你也爱着我啊……」
%ANAME(TARGET)%はさっきまでの不安そうな顔つきではなく、幸せそうに緩んだ泣き顔で返事を告げる	%ANAME(TARGET)%刚刚那不安烟消云散，幸福得哭得梨花带雨着回复道
「私も貴方を愛しています。私を、%ANAME(MASTER)%のお嫁さんにしてください…♥」	「我也爱你。请让我成为%ANAME(MASTER)%的妻子吧…♥」
「……♥……ふふ♥」	「……♥……fufu~♥」
婚姻の儀の最中、%ANAME(TARGET)%は自らの薬指に輝く指輪を何度も見ては、幸せそうに頬を緩ませている	结婚仪式上，%ANAME(TARGET)%多次看着自己无名指上闪耀着的戒指，幸福的微笑着
儀も滞りなく進み、そろそろ終わりになろうかというところに、突如雨が降ってきた	仪式也顺利进行着，就在要结束的时候，突然下起了雨
日差しも眩しい晴れ間にも関わらず、ぽつぽつと天気雨が降り注ぐ…	即使是耀眼的晴天，也会淅淅沥沥地下着太阳雨…
― 天気雨は狐の嫁入りとも言うが、本当に嫁入りの時に降ってくるとはなぁ ―	―― 虽然太阳雨也叫狐狸出嫁，但真的是出嫁的时候下的啊 ――
「…もしかしたら、龍神様が私たちの事を祝ってくれたのかもしれないな」	「…也许，是龙神大人为了祝福我们而庆祝的吧」
%ANAME(TARGET)%は雨の中も、ずっと%ANAME(MASTER)%に寄り添っていた	即使在雨中，%ANAME(TARGET)%也一直依偎在%ANAME(MASTER)%身边
（紫様…私には、今でも貴女のお考えが分かりません…）	（紫大人…我至今还不明白你的想法…）
（この結婚も、式の分際で、とお怒りになるのでしょうか。それとも%ANAME(TARGET)%の幸せを祝ってくれるのでしょうか…）	（以式神的身份与他人成婚，您会生气吗，还是会为%ANAME(TARGET)%的幸福所祈祷祝福呢…）
（…考えても詮無き事ですが、それでも、私は紫様に感謝しています）	（…虽然想也没用，但是我还是很感谢紫大人）
（私に心をくれて、ありがとうございます。この人を愛する心をくれて、本当にありがとうございます）	（谢谢你关心我。谢谢你给了我能爱这个人的心）
（…私は、紫様の式でいられて本当に幸せでした。そしてこれからの幸せを守るため、藍は頑張っていきます…）	（…我能成为紫大人的式神真的很幸福。然后为了守护这份幸福，蓝会努力的…）
静かに寄り添う%ANAME(TARGET)%の目元にうっすらと涙が浮かぶ。何かあったのだろうか？	静静贴近的%ANAME(TARGET)%的眼睛里隐约地浮现出泪水。发生了什么事吗？
「ん？　ふふっ。いや、なんでもないんだ。ちょっとした嬉し涙だよ。あ、空…」	「嗯？fufu。不，没什么。有点高兴罢了。啊，天空…」
天気雨はもう上がっていた。青空には二人を祝うかのように、鮮やかな虹がかかっていた……	太阳雨已经停了。蓝天上挂着鲜艳的彩虹，好像是在祝福两个人
「%ANAME(MASTER)%…%ANAME(MASTER)%…、んんっ！　…♥…あぁっ♥」	「%ANAME(MASTER)%…%ANAME(MASTER)%…嗯，嗯！　…♥…啊啊啊♥」
「……ぁ、んんっ……」	「……啊，嗯……」
「んっ！　……ふうっ！」	「嗯！　……呼呜！」
「ううぅ……そんな殺生なぁ…」	「呜呜……太残忍了啊…」
「ふふ…いいぞ。なんだかとても…シたい気分だ…♥」	「ufu…行啊。总觉得有总…无法拒绝的感觉…♥」
%ANAME(TARGET)%は酔いが深いのか、トロンとした表情で%ANAME(MASTER)%にもたれかかって来た	%ANAME(TARGET)%可能是醉意很浓，带着矫情的表情靠在了%ANAME(MASTER)%上
「…待っていたぞ、%ANAME(MASTER)%♥」	「…我等着你，%ANAME(MASTER)%♥」
「ふふ…その誘い、乗ってやろう」	「fufu…我就接受你的邀请吧」
「誘い方がなってないぞ」	「无法接受你的引诱呢」
%ANAME(MASTER)%は%ANAME(TARGET)%に手をつねられた	%ANAME(MASTER)%被%ANAME(TARGET)%掐了手
「……もっと精進しろ」	「……少得意忘形了」
「ふふ…九尾を誘惑するなんて。よほど搾られたいんだな%ANAME(MASTER)%は♥」	「fufu…居然诱惑九尾。这么想被榨取吗？%ANAME(MASTER)%桑~♥」
%ANAME(TARGET)%は%ANAME(MASTER)%にしなだれかかり、手際よく服を剥ぎ取っていく	%ANAME(TARGET)%受%ANAME(MASTER)%所诱、熟练地脱下了衣服
「求められてとっても嬉しいよ♥　それでは望み通り、たっぷりよがらせてあげるからな」	「被索求了非常开心哦♥那么我会按照你的愿望，充分地榨干你哦」
%ANAME(TARGET)%は妖艶な笑みを浮かべ、%ANAME(MASTER)%の体に自身の尻尾を絡めてくる	%ANAME(TARGET)%露出妖艳的笑容，将自己的尾巴缠绕在%ANAME(MASTER)%的身上
「さあ、今夜はもう放さないぞ…、愛しい私の旦那様♥」	「那么、今天是不会放过你的哦…我亲爱的夫君大人♥」
「ふふ、%ANAME(MASTER)%の方から誘ってくれるなんて、とても嬉しいぞ♥」	「fufu，能受到%ANAME(MASTER)%的邀请，我很高兴哦♥」
%ANAME(TARGET)%は満面の笑みを浮かべて%ANAME(MASTER)%に抱きついてきた	%ANAME(TARGET)%满面笑容地抱住了%ANAME(MASTER)%
「それじゃあ今夜も私を愛してくれ…旦那様…♥」	「那么今晚也请爱我…夫君大人…♥」
「ああ♥　もう待ちわびていたんだぞ♥」	「啊♥　已经等不及了♥」
%ANAME(TARGET)%は、%ANAME(MASTER)%の誘惑に乗って、尻尾を乱れ振りながら抱きついてきた	%ANAME(TARGET)%顺着邀请乱摇着尾巴抱住了%ANAME(MASTER)%
「ああっ、もう我慢できない！　早く抱かせておくれよ、私の旦那様♥」	「啊，已经不能忍耐了！快点抱我，我的夫君♥」
「ふふふ、いいのか？　搾り取られても知らないぞ♥」	「fufufu、可以吗？被榨干了我也不管哦♥」
耳元で熱っぽく囁きながら、%ANAME(MASTER)%の股間を撫で回す。その一物は既にはち切れそうになっている	在耳边一边热地低声细语着，一边来回抚摸着%ANAME(MASTER)%的胯间，那话儿已经快要撑爆了
「…なんて、無粋だな。私に搾り取られたいから誘ってきたんだものなぁ♥」	「…忍耐是无意义的呢。就是因为想被我榨取才邀请我的吧♥」
「望みどおり、たっぷり搾り取ってあげるぞ、可愛い私の旦那様♥」	「我会按照你的愿望好好榨取你的，我可爱的夫君大人♥」
「それでは望み通り、たっぷりよがらせてあげるからな」	「那么我会按照你的愿望，充分地榨干你哦」
%ANAME(TARGET)%は妖艶な笑みを浮かべ、%ANAME(MASTER)%の身体に自身の尻尾を絡めてくる	%ANAME(TARGET)%露出妖艳的笑容，将自己的尾巴缠绕在%ANAME(MASTER)%的身体上
「さあ、今日はもう放さないぞ…♥」	「那么、今天是不会放过你的哦…♥」
「そちらから誘ってくれるなんて、とても嬉しいぞ♥」	「能邀请我做、很开心哦♥」
「それじゃあ%ANAME(MASTER)%…。今日も私を愛してくれ♥」	「那么%ANAME(MASTER)%…。今天也请爱我♥」
%ANAME(TARGET)%は、%ANAME(MASTER)%の誘惑に乗って抱きついてきた	%ANAME(TARGET)%顺着邀请抱住了%ANAME(MASTER)%
「ああっ、もう我慢できない！　早く%ANAME(MASTER)%を抱かせておくれ♥」	「啊、已经不能忍耐了！快点抱我吧%ANAME(MASTER)%♥」
「ふふふ、いいのか？　搾り取られても知らんぞ♥」	「fufufu、可以吗？被榨干了也没事吗♥」
「…なんて、野暮なことだな。私に搾り取られたいから誘ってきたんだものなぁ♥」	「…多么地没出息呢。就是因为想被我榨取才邀请我的吧♥」
「うふふ…九尾を誘惑するとは。どういうことか、分かっているのか%ANAME(MASTER)%は♥」	「fufu…竟然诱惑九尾，你知道会发生什么事吗%ANAME(MASTER)%桑♥」
「お望み通り、いっぱいキモチよくしてあげよう♥」	「如你所愿，让你舒服起来吧♥」
「ふふ、そっちから誘ってくれるとは手間が省けたな♥」	「fufu、你来邀请我，真是省去了麻烦啊♥」
「ん♥　待ちわびていたぞ♥」	「嗯♥ 等你开口好久了♥」
%ANAME(TARGET)%は耳元で熱っぽく囁きながら、%ANAME(MASTER)%の股間を撫で回してきた	%ANAME(TARGET)%在耳边热切地私语着，抚摸着%ANAME(MASTER)%的胯间
「ふっ、搾り取られても知らんぞ？」	「豁...被榨干了也没关系是吗？」
%ANAME(TARGET)%「よし、いこうか」	%ANAME(TARGET)%「好，出发吧」
%ANAME(TARGET)%「九尾の力を舐めるなよ」	%ANAME(TARGET)%「不要小看九尾的力量」
%ANAME(TARGET)%「荒事は本業ではないのだがな」	%ANAME(TARGET)%「虽然战斗不是我擅长的，但没办法了呢」
%ANAME(TARGET)%「美しさの無い戦いは好まないが…、そうも言ってられんか」	%ANAME(TARGET)%「我不喜欢没有美感的战斗，但我想我不能这样说」
%ANAME(TARGET)%「命を無駄にするのは関心せんぞ」	%ANAME(TARGET)%「我对不惜命的家伙可不感兴趣」
%ANAME(TARGET)%「反抗する限りは容赦はせんぞ」	%ANAME(TARGET)%「反抗的话杀无赦」
%ANAME(TARGET)%「最強の妖獣の力がどんな物か、教えてやろう」	%ANAME(TARGET)%「让我来告诉你最强妖兽的力量是怎样的」
%ANAME(TARGET)%「ええい、手間を掛けさせてくれるな」	%ANAME(TARGET)%「就这样，别让我费劲了」
%ANAME(TARGET)%「落としてみせる！」	%ANAME(TARGET)%「陨落吧！」
%ANAME(TARGET)%「九尾の力、見せてやろう！」	%ANAME(TARGET)%「让你看看九尾的力量！」
%ANAME(TARGET)%「荒事は本意ではないが、仕方あるまい」	%ANAME(TARGET)%「虽然战斗不是我擅长的，但没办法了呢」
%ANAME(TARGET)%「降伏してくれれば無駄に争わなくて済むのだが…」	%ANAME(TARGET)%「如果投降的话，就不用白白斗争了…」
%ANAME(TARGET)%「抵抗する限り、容赦はせんぞ」	%ANAME(TARGET)%「如若抵抗，杀无赦」
%ANAME(TARGET)%「九尾を相手にして、ただで済むと思うな」	%ANAME(TARGET)%「别以为和九尾交手能轻易逃脱」
%ANAME(TARGET)%「伊達で紫様のお供をしているわけではない。見くびってくれるな！」	%ANAME(TARGET)%「我可不是只是紫大人随从。别小看我！」
%ANAME(TARGET)%「攻める以上は容赦せん。覚悟しろ」	%ANAME(TARGET)%「既然是侵略就无法手下留情。觉悟吧」
%ANAME(TARGET)%「九尾を相手に何処まで出来るか、見せてみよ！」	%ANAME(TARGET)%「让我来看看你能和九尾对抗到什么程度!」
%ANAME(TARGET)%「守り抜いてみせる！」	%ANAME(TARGET)%「我会守护你的！」
%ANAME(TARGET)%「荒事は本意ではないが、そうも言ってられんな」	%ANAME(TARGET)%「虽然战斗不是我擅长的，但已经不是能这么说的时候了呢」
%ANAME(TARGET)%「私がいる以上、簡単には落とさせん」	%ANAME(TARGET)%「既然有我在，那么就不会轻易落败」
%ANAME(TARGET)%「九尾を討ち取れるつもりか？」	%ANAME(TARGET)%「打算与九尾相斗吗？」
%ANAME(TARGET)%「ここを簡単に落とせるとは思って欲しくないな」	%ANAME(TARGET)%「我可不认为你能在这把我轻易解决掉」
%ANAME(TARGET)%「最強の妖獣の力、伊達ではないと教えてやろう！」	%ANAME(TARGET)%「被称为最强妖兽之力可不是平白而来的！」
%ANAME(TARGET)%「九尾に手を出すとは、命知らずか命いらずか…」	%ANAME(TARGET)%「惹上九尾，就是死路一条，真是不惜命... ...」
%ANAME(TARGET)%「九尾の力は伊達ではないと教えてやろうか」	%ANAME(TARGET)%「我来告诉你最强妖兽之名可不是凭空捏造的！」
%ANAME(TARGET)%「出来る限りの抵抗はしてやる。覚悟しろ！」	%ANAME(TARGET)%「我会尽力抵抗的。觉悟吧！」
%ANAME(TARGET)%「知恵と力を持って、凌ぎ切って見せよう」	%ANAME(TARGET)%「用智慧和力量，来克服它吧」
%ANAME(TARGET)%「これが私の流儀だ」	%ANAME(TARGET)%「这就是我的作风」
%ANAME(TARGET)%「力押しよりこちらが得意でな」	%ANAME(TARGET)%「比起武力，我更擅长这个」
%ANAME(TARGET)%「力ある者がいつも勝つとは限らんぞ」	%ANAME(TARGET)%「关有武力的家伙不是总能取胜的呢」
%ANAME(TARGET)%「私の本領をお見せしよう」	%ANAME(TARGET)%「然你看看式神的本事吧」
%ANAME(TARGET)%「思い描いた通りに戦局が動くのは痛快だな」	%ANAME(TARGET)%「战局如我所料在运转，真是令人兴奋」
%ANAME(TARGET)%「なんだと！？」	%ANAME(TARGET)%「什么！？」
%ANAME(TARGET)%「そちらが上手だったか…！」	%ANAME(TARGET)%「不错的一手嘛…！」
%ANAME(TARGET)%「向かう先は悪天候ばかり、か…」	%ANAME(TARGET)%「净是坏消息吗，呜…」
%ANAME(TARGET)%「なかなか順風満帆とはいかぬものだな…」	%ANAME(TARGET)%「怎么也不能一帆风顺呢…」
%ANAME(TARGET)%「我が一撃、受けてみろ！」	%ANAME(TARGET)%「吃我一击！！」
%ANAME(TARGET)%「九尾の力をお見せしよう」	%ANAME(TARGET)%「让你们看看九尾的力量！」
%ANAME(TARGET)%「最強の妖獣の力は伊達ではないぞ」	%ANAME(TARGET)%「最强的妖兽之力可不止这一点呢」
%ANAME(TARGET)%「%ANAME(MASTER)%に良いところを見せたいのでな」	%ANAME(TARGET)%「想让%ANAME(MASTER)%看到出色的表现呢」
%ANAME(TARGET)%「下手を打ったか……」	%ANAME(TARGET)%「下了手坏棋吗……」
%ANAME(TARGET)%「私としたことが……」	%ANAME(TARGET)%「我没能做到吗……」
%ANAME(TARGET)%「…もう抵抗はせんよ」	%ANAME(TARGET)%「…无法抵抗了啊」
%ANAME(TARGET)%「敗軍の将ゆえ文句は言えんが…、何故こんな胸を強調する縛り方をする？」	%ANAME(TARGET)%「因为我是败军之将，所以我不能抱怨，但为什么要把我绑得这么突出我的胸部？」
%ANAME(TARGET)%「…終わるときはあっけないものだな…」	%ANAME(TARGET)%「…就这样结束可太没有意思了呢…」
「…仕方あるまい。これからよろしく頼む」	「…没办法。今后请多关照」
「断る」	「我拒绝」
「私にも立場がある。そういうわけには行かない」	「我有我的立场。不能答应」
「…すまないが、その提案は呑めない」	「…对不起，我无法接受这个提案」
「…本気か？　大した度量だ…」	「…真的吗？ 了不起的气量啊…」
「放してくれるというのか？　…かたじけない」	「你要释放我吗？　…非常感谢」
「無事に帰してくれるとは…。すまない、恩に着る」	「我没想到会让我安全离开... ...抱歉，我欠你的」
「やれやれ…どうしたものか…」	「啊啦啊啦…怎么变成这样了呢…」
（すみません、紫様…。%ANAME(TARGET)%はここまでです…）	（对不起，紫大人…。%ANAME(TARGET)%到此为止了…）
%ANAME(TARGET)%「紫様…%ANAME(MASTER)%…お役に立てず……」	%ANAME(TARGET)%「紫大人…%ANAME(MASTER)%…没能帮上忙呢……」
%ANAME(TARGET)%「紫様…申し訳ありません…。%ANAME(TARGET)%はここまでです……」	%ANAME(TARGET)%「紫大人…非常抱歉…%ANAME(TARGET)%到此为止了……」
「…本気か？　…まあ、ひとまずは感謝する」	「…真的吗？　…啊，暂且多谢了」
「九尾の恨み、努々忘れんことだ」	「九尾的怨恨，可别忘记了啊」
「紫様…申し訳ありません…。%ANAME(TARGET)%はここまでです……」	「紫大人…非常抱歉…。%ANAME(TARGET)%到此为止了……」
「…下種めッ」	「…下贱的家伙」
（この屈辱…忘れんぞ…っ！）	（这份屈辱…我可不会忘记的…啊）
「縁が無かった、ということか」	「该说是没有缘分吗、抱歉」
