ようやく今日の分の仕事が終わった	今天的工作终于结束了
手や股を奇麗に掃除した後、%ANAME(対象)%はペニスを扱いて残り汁を舐めとる	手和大腿清洁干净后，%ANAME(対象)%用阴茎舔剩下的汁液
「ふふっ♥　それじゃっ♥」	「呵呵呵♥那么，再见♥」
%ANAME(対象)%はギンギンに勃起した%ANAME(MASTER)%の肉棒を騎乗位の体勢で膣内に飲み込む	%ANAME(対象)%用骑乘位的姿势将勃起的%ANAME(MASTER)%的肉棒吞入阴道内
%ANAME(対象)%の膣内に%ANAME(MASTER)%のペニスが音を立てて入っていく	%ANAME(MASTER)%的阴茎发出声音进入%ANAME(対象)%的阴道内
%ANAME(MASTER)%は%ANAME(対象)%の腰を掴んで思い切り突き上げた	%ANAME(MASTER)%抓住%ANAME(対象)%的腰狠狠地推了上去
「はぁんっ♥　ちょ、っと♥　……いきなり突き上げないで……んぁあっ♥♥」	「哈啊♥等一下♥　……不要突然顶上去……嗯啊啊♥♥」
%ANAME(MASTER)%は腰を激しく上下させ連続で%ANAME(対象)%の膣内を貫く	%ANAME(MASTER)%腰部激烈地上下连续贯穿%ANAME(対象)%的阴道内
「ま、まって♥　%ANAME(MASTER)%っ♥　……もう少しゆっくり……ぁあっ♥」	「等一下♥%ANAME(MASTER)%♥　……再慢一点……啊啊啊♥」
「やっ♥　すご、い……奥まで、届いてるぅ……♥」	「哎呀♥好厉害……送到了里面……♥」
%ANAME(対象)%は%ANAME(MASTER)%に跨り乱れ喘いでいる	%ANAME(対象)%跨越%ANAME(MASTER)%乱喘息着
「%ANAME(MASTER)%のおちんちん、熱くて、硬くてぇっ……♥」	「%ANAME(MASTER)%的小鸡鸡，又烫又硬……♥」
淫らに腰を振る%ANAME(対象)%に合わせように、%ANAME(MASTER)%も下から肉棒を突き刺す	为了配合淫荡地摆动着腰的%ANAME(対象)%，%ANAME(MASTER)%也从下面刺进肉棒
「んんっ♥　……ぁあんっ♥　出してっ♥♥　精液っ♥　出してっ♥♥♥」	「嗯，嗯♥　……啊啊啊♥拿出来♥♥精液♥拿出来♥♥♥」
コツンと子宮口に亀頭が当たる感触に悲鳴のような声で%ANAME(対象)%はよがる	龟头碰在子宫口上的触感，让%ANAME(対象)%发出悲鸣般的声音
妊娠の危険などお構いなしに、熱い中出しを求めていった…	不顾怀孕的危险，要求趁热中出…
「この体位、私がリード出来るから結構好きかも……♥」	「这个体位，因为我能领导所以可能很喜欢……♥」
「ほら、これなんかどう？ うりうりっ♥」	「看，这个怎么样？售货员♥」
主導権を得られタガが外れたのか、%ANAME(MASTER)%を押さえつけて激しいピストン繰り返していく	或许是获得了主导权，束缚解除了吧，抓住了%ANAME(MASTER)%，反复进行激烈的活塞运动
%ANAME(対象)%は腰をぐるぐると回転させ始め、前後左右、上下と不規則に動かし、%ANAME(MASTER)%の快感を増大させる	%ANAME(対象)%开始扭动腰，前后左右，上下不规则地扭动，来增加%ANAME(MASTER)%的快感
「んっ♥　……ふふっ♥　ねぇ、また膣内で大きくなってますよ？　出したいんでしょう？　んっー♥」	「嗯♥　……呵呵呵♥呐，阴道内那东西可又变大了哦？想射出来吧？嗯♥」
%ANAME(対象)%は荒い息遣いをしながら欲情しきった笑みを浮かべ、自ら腰を動かし肉棒を子宮口に当てて中出しを誘う	%ANAME(対象)%一边喘着粗气，一边露出充满欲望的笑容，自己动着腰，把肉棒放在子宫口中引诱出
「ははぁん、もっと気持ち良くさせてあげるわね……♥」	「哈哈，我会让你更舒服的……♥」
流石にやられっぱなしも癪なので下から突きあげてやると、嬉しそうに喘いだ…	就算被骂了也会很生气，所以从下面把他推上去，他看起来很开心地喘息着…
「はぁんっ♥　ちょ♥　っと♥　……いきなり突き上げないで……んぁあっ♥♥」	「哈酱♥等一下♥突然♥　……不要突然推上去……嗯啊啊♥♥」
「はっ♥　ぁあっ♥　%ANAME(MASTER)%っ……♥」	「哈哈♥啊啊啊♥%ANAME(MASTER)%……♥」
「あぁっ♥　……気持ちいい、%ANAME(MASTER)%……♥」	「啊啊啊♥　……好舒服，%ANAME(MASTER)%……♥」
雄の遺伝子を欲しがる子宮に応えるように、そのピッチも短く激しくなる	就像是为了回应想要雄性遗传因子的子宫一样，其间距也变得短而激烈
「んぁあっ♥　やっ♥　だめ、気持ち良過ぎて……もう♥　……ぁああっ♥♥」	「嗯啊啊♥哎呀♥不行，太舒服了……已经♥　……啊啊啊啊♥♥」
ゾクゾクと身体を震わせる%ANAME(MASTER)%を笑顔で見下ろして、射精を促していった…	笑着俯视着颤抖着身体的%ANAME(MASTER)%，催促着射精…
トロトロの肉壷に捉えられたペニスを激しいグラインドで腰を振る%ANAME(対象)%	%ANAME(TARGET)%用黏糊糊的肉壶摇晃着被吸住的阴茎
「あっ♥　ぁあっ♥　%ANAME(MASTER)%、好き、大好きぃっ……♥」	「啊♥啊啊啊♥%ANAME(MASTER)%、喜欢、最喜欢……♥」
%ANAME(MASTER)%の上で乱れながら愛を叫んでくる%ANAME(対象)%	在%ANAME(MASTER)%上一边混乱一边呼喊着爱的%ANAME(対象)%
%ANAME(MASTER)%もお返しに愛を囁きつつ腰を突き上げる	%ANAME(MASTER)%也作为回礼在低声私语着爱的同时抬起了腰
%ANAME(MASTER)%を犯しているような感覚に欲情して、%ANAME(対象)%はさらに肉棒を膣内で刺激する	%ANAME(対象)%更是在阴道内刺激肉棒
「は、ぁあんっ♥　も、もう、だめ、イッちゃいそう……♥」	「哈，啊♥已经，不行了，好像快到了……♥」
「はっ♥　んぁっ♥　ぁぁぁあああっ……♥♥」	「哈哈♥嗯啊啊♥啊啊啊啊啊……♥♥」
「膣内っ……こすれっ…♥……あぁっ…あっあっあっはぁんっ♥」	「阴道内……摩擦…♥……啊啊…啊啊啊哈哈♥」
「…っ…ひゃっ…いいっ……ぅあぁっ！……♥」	「…嗯…哎呀…好……嗯！……♥」
「…ぅあっ…ぁっ…膣内で…コツンっ…てっ……♥」	「…嗯…啊…在阴道内…一个劲地…嗯……♥」
「当たっ…て…っ♥…ああぁっ！…あんっ…はぁあぁっ！♥」	「中…手…嗯♥…啊啊啊啊！…嗯…啊啊啊！♥」
「んぁあっ……はっ……ぃ…いっ…ぱい……出し…っはぁぁんっ…♪」	「嗯啊啊……啊……嗯…一…嗯……出…哈哈哈…♪」
「…ッ気持ち……ぁっ…よすぎ…♥……イっちゃっ…ひゃあぁあっ♥」	「…心情……啊…太好了…♥……糟了…哎呀♥」
「んんっ…！？いや、少しお腹の子がびっくりしたようなので…」	「嗯…！？不，肚子里的孩子好像有点吃惊…」
%ANAME(対象)%はお腹を擦っている……	%ANAME(対象)%在擦肚子……
「こらっ、妊娠中くらい我慢しなさい」	「喂，忍耐一下怀孕期间吧」
%ANAME(対象)%は、少し怒った様子で頬を膨らませている……	%ANAME(対象)%带着有些生气的表情鼓起了脸颊……
「ふぅっ…、止めてと…言ったのに…っ…」	「呼…停下来…我说过了…嗯…」
%ANAME(対象)%は、身体を震わせて膣内射精の余韻に浸っている……	%ANAME(対象)%身体颤抖，沉浸在阴道内射精的余韵中……
「膣内でっ…出て…♥……あぁっ…赤…ちゃん……っ♥」	「阴道内…出来…♥……啊啊…红色…酱……嗯♥」
「…妊娠…♥……しちゃうのぉっ…っ……♥」	「…怀孕…♥……我会做的…嗯……♥」
「いっぱい出しましたね…♥♥」	「出了很多呢…♥♥」
「ふぅっ…、熱っ……蕩けそう……♥」	「呼…、热……快要溶化了……♥」
「………♥…ぁあっ…沢山…遺伝子…はっ…流れて…きたっ♥」	「………♥…啊啊啊…很多…遗传因子…啊…流…来，来♥」
「…受精……っ…しちゃった……みたい…っ……♥」	「…受精……嗯…搞砸了……好像…嗯……♥」
「…今日は…ぁっ…危険…日っ……っ…いっぱい…出してっ♥」	「…今天是…啊…危险…日……嗯…满满的…拿出来♥」
「…ぁあっ……出てるぅ……ぃ…種付け……されちゃった…ぁんっ…♪」	「…啊啊……出来了……嗯…配种……被打了…啊啊…♪」
「…んっ……あはっ♥……いっぱい出たぁ……」	「…嗯……啊哈哈♥……出了很多……」
「子宮に……♥……いっぱい…ちょうだいっ♥」	「子宫……♥……满满的…我要♥」
「子宮にっ……貴方のドロドロ精液…♥……いっぱい…射精してっ♥」	「进入子宫……你的粘稠精液…♥……满满的…射精吧♥」
「…な…膣内にっ…♥……射精して………っ…あぁっ…♥」	「…呐…在阴道内…♥……射精………嗯…啊啊…♥」
「いいの…っ……ああっ…っ……気持ち…いい…っ……♥！」	「可以吗…嗯……啊啊…嗯……心情…好的…嗯……♥！」
「ほらぁっ……んっ…私を……ぁ…奪ってみせてっ♥」	「你看……嗯…把我……啊…让我抢给你看♥」
「…ッ気持ち……ぁっ……♥……イっちゃっ…ひゃあぁあっ♥」	「…心情……啊……♥……糟了…哎呀♥」
射精を始めようとする%ANAME(MASTER)%の腰に脚を絡め、%ANAME(対象)%は中出しを強要させる	将脚缠在打算开始射精的%ANAME(MASTER)%的腰上，%ANAME(対象)%强行要求中出
限界まで膨れ上がった肉棒から放たれる精液で、子宮を犯される快楽に%ANAME(対象)%は震えた	从膨胀到极限的肉棒中放出的精液，被侵犯子宫的快乐吓得%ANAME(対象)%颤抖
孕ませられる雌の悦びに浸りながら、%ANAME(対象)%は遺伝子で満ちたお腹を愛おしそうにさすった…	一边沉浸在被孕育的雌性的喜悦中，%ANAME(対象)%一边抚摩着充满遗传因子的肚子…
「ぁんっ…♥…膣内で出しましたね♥…これは”出来る”かもしれませんよ…？」	「啊啊…♥…是在阴道内取出的吧♥…这可能是"可以"的吧…？」
降りてくる子宮を感じながら、濃厚な種付けを求めてピストンを続けた…	一边感受着子宫落下的感觉，一边追求浓厚的配种，一边继续进行活塞运动…
%ANAME(対象)%は精液で満たされた下腹部を擦っている……	%ANAME(対象)%擦着充满精液的小腹……
「…だけど、この程度で満足しないのでしょう？」	「…但是，这种程度就不满足了吧？」
淫らに腰を振る%ANAME(対象)%に合わせるように、%ANAME(MASTER)%も下から肉棒を突き刺す	为了配合淫荡地摆动着腰的%ANAME(対象)%，%ANAME(MASTER)%也从下面刺进肉棒
妊娠の危険などお構いなしに、%ANAME(対象)%の膣は熱い中出しを求めていった…	不管妊娠的危险等，%ANAME(対象)%的阴道都在灼热的状态下要求取出…
狭い膣内で肉棒を絞めつけ、%ANAME(対象)%は長いストロークで腰を縦に振っていく	在狭窄的阴道内勒紧肉棒，%ANAME(対象)%用长的一击直摇腰
%ANAME(対象)%は目をうっとりと細めると秘裂から零れ出た白濁液を指で掬うと、そのまま舐めとった……	%ANAME(対象)%把眼睛眯得很细，用手指捞起从秘密中流出的白色浑浊液，就那样舔着……
%ANAME(MASTER)%は交尾の最終目的である種付けをするべく、亀頭で子宮口をこじ開けて遺伝子を吐き出した	%ANAME(MASTER)%为了进行交配的最终目的的配种，用龟头撬开子宫口吐出了遗传因子
精子たちは当人たちの思いに応えるべく、必死に卵子に向けて泳ぎだす	精子们为了回应当事人的想法，拼命地向卵子游去
子を成すことを望む%ANAME(対象)%は、愛する人の種が無事受精することを祈った…	希望生孩子的%ANAME(対象)%，祈祷着所爱之人的种子能够平安受精…
「ふぅっ…、出て…るぅ……♥」	「呼…出来…嗯……♥」
欲望のまま放たれる%ANAME(MASTER)%の遺伝子を、%ANAME(対象)%は発情した雌のように子宮で受け止める	%ANAME(対象)%像发情的雌性一样，用子宫接受了被欲望释放的%ANAME(MASTER)%的遗传因子
蹂躙するがの如く子宮の中を飛びはねとぷとぷと満たす感覚に%ANAME(対象)%もまた快感に浸る	如同蹂躏一般在子宫中弹跳，充满了扑通扑通的感觉，%ANAME(対象)%也沉浸在快感中
射精が終わるまでの間、二人は痙攣しながら身体を押し付け合った…	在射精结束之前，两人一边痉挛一边将身体推给对方…
妊娠のリスクを伴うというのに、%ANAME(対象)%は一切の抵抗なく膣内射精を受け止めた	伴随着妊娠的风险，%ANAME(対象)%毫无抵抗地接受了阴道内射精
小さな子宮に治まり切らない白濁液は、溢れ返って膣内を汚し始める	小子宫无法完全治愈的白浊液，开始溢出污染阴道内
暫くの間%ANAME(対象)%は子宮の熱さに震え、射精の余韻に浸る%ANAME(MASTER)%を抱きしめた…	短暂的%ANAME(対象)%因为子宫的热度而颤抖，抱住沉浸在射精余韵中的%ANAME(MASTER)%…
「ふふっ……お疲れ様…♥」	「呵呵……辛苦了…♥」
覆いかぶさったまま腰を激しくピストンさせ、高いカリにゴリゴリ抉られる膣壁の快感に%ANAME(対象)%も耐え切れず嬌声を上げる	捂着腰剧烈地扭动着臀部，阴道壁被高高的龟头剜去的快感，让%ANAME(对象)%无法忍受，娇声叫了起来。
%ANAME(対象)%はギシギシと揺れるベッドに身を預け、%ANAME(MASTER)%の首に腕を回して恋人のように全てを任せる	%ANAME(対象)%把身体靠在摇摇晃晃的床上，将手臂转动到%ANAME(MASTER)%的脖子上，像恋人一样把一切交给对方
打ち込まれる甘悦によって激しく乱れ、上げる余力もなくなった腕でシーツを掴み、%ANAME(MASTER)%の腰に足を絡めて膣内出しを促す…	由于被打入的甘悦而激烈混乱，用没有余力提高的手臂抓住床单，脚缠在%ANAME(MASTER)%的腰上促使阴道内露出…
「…いっぱい♥……幸せ…」	「…满满的♥……幸福…」
%ANAME(対象)%を四つん這いにさせると、%ANAME(MASTER)%はそのまま膣内を貫くように腰を打ち付け始めた	让%ANAME(対象)%四个趴着，%ANAME(MASTER)%就那样开始打起腰来贯穿阴道内
獣の交尾のような体勢に雌の本能が目覚めたのか、%ANAME(対象)%の声は理性を失い妖艶なものになってく。	雌的本能从兽的交尾般的姿势中觉醒了吗，%ANAME(対象)%的声音失去了理性变成了妖艳的东西。
部屋に響く肉を打つ音に興奮を高めながら、二人の行為は徐々に速度を速めていった…	在房间里响起的敲击肉的声音中，两人的行为逐渐加快了速度…
%ANAME(対象)%は、お返しとばかりに騎乗位で腰を淫らに動かし始めた	%ANAME(対象)%为了回礼，开始用骑乘位淫荡地活动腰
%ANAME(対象)%は声を荒げつつも%ANAME(MASTER)%の肉棒を覚えるように、根元まで飲み込む度に膣内の形を%ANAME(MASTER)%のモノへと合わせていく	%ANAME(対象)%的声音虽然粗暴，但为了记住%ANAME(MASTER)%的肉棒，每次吞到根部都会把阴道内的形状和%ANAME(MASTER)%的东西配合起来
心では%ANAME(MASTER)%に謝りながら、身体は相性の良い%ANAME(MASTER)%を選んでしまい、更なる快楽を求めて腰を振りたくった…	在心里向%ANAME(MASTER)%道歉的同时，身体选择了投缘的%ANAME(MASTER)%，为了寻求更大的快乐而扭动了腰…
互いに限界が近い。繋がった二人は何も言わずに抱き合ってラストスパートをかける	彼此界限相近。连接在一起的两个人什么都不说，互相拥抱，最后冲刺
子宮口はとっくに口を開いており、その無防備な子宮に向かって肉欲に塗れた精汁をぶちまけた	子宫口早就张开了嘴，向那个毫无防备的子宫里倒上了沾满肉欲的精液
%ANAME(対象)%は一段と大きい嬌声を上げて身を震わせると、膣壁を狭くさせてペニスから一滴残らず精液を搾り取ろうとする	%ANAME(対象)%发出更大的娇声震动身体，将阴道壁变窄，从阴茎上一滴一滴地榨取精液
射精が終わるまで二人は自然と口づけを交わし、心地よい余韻に浸っていた…	在射精结束之前两人自然地接吻，沉浸在愉快的余韵中…
絶頂寸前の%ANAME(MASTER)%は後ろから%ANAME(対象)%の腕を引っ張り、先ほどよりも激しく肉棒を打ち込み続ける	即将绝顶的%ANAME(MASTER)%从后面拉着%ANAME(対象)%的手臂，比刚才更加激烈地继续打肉棒
亀頭で子宮口をこじ開けていく感触に最高潮の興奮を感じながら、快楽に堕ち淫らな雌と化した%ANAME(対象)%に種付けを果たした	在龟头撬开子宫口的触感中感受到了最高潮的兴奋，同时也为快乐堕落为淫荡的雌性化的%ANAME(対象)%做了配种
根本まで挿入され膨張した肉棒。絶頂で収縮する膣壁。吐き出された精子たちは唯一の逃げ場である子宮へと雪崩を打って入り込む	插根膨胀的肉棒。绝顶收缩的阴道壁。被吐出的精子们向唯一的逃避场所——子宫袭来雪崩
%ANAME(対象)%は子宮が満たされていく感覚を覚え、女として最高の快感と幸福を味わった…	%ANAME(対象)%感受到了子宫被填满的感觉，感受到了作为女人最棒的快感和幸福…
もう射精が近いというのに%ANAME(対象)%は主導権を握ったまま、バチュバチュと音を立てながら妖艶な腰つきで腰を振り続ける	虽然射精已经很近了，但是%ANAME(対象)%却掌握着主导权，啪嗒啪嗒地响着，用妖艳的腰继续挥着腰
%ANAME(MASTER)%は耐え切れずにそのまま膣内に射精したが、しかし%ANAME(対象)%は動きを止めない	%ANAME(MASTER)%无法忍受就那样射精在阴道内，但是%ANAME(対象)%无法停止活动
腰を下ろす度に絶頂でエラを張った亀頭が大量の精液を押し上げ、子宮内へと送り込む	每次坐下的时候，龟头都会在顶峰张开腮帮子，将大量的精液推上去，送到子宫内
満タンでないと満足できない%ANAME(対象)%は、射精が終わった後も精液を搾り取ろうとピストンを続行した…	不加满就无法满足的%ANAME(対象)%，在射精结束后为了榨取精液而继续使用活塞…
…何度目かの射精を子宮で受け止め、出ている間にも%ANAME(対象)%は動きを止めることはない	…子宫接受了几次射精，出来的时候%ANAME(対象)%也不会停止活动
狭い膣内で射精している肉棒を絞めつけ、%ANAME(対象)%は長いストロークで腰を縦に振っていく	把在狭窄的阴道内射精的肉棒勒紧，%ANAME(対象)%用长的一击直摇腰
貪欲に潤いを求める子宮に従い、どんどんピッチも短く激しく淫らになる	随着贪欲追求滋润的子宫，间距越来越短、激烈、淫荡
強すぎる快楽に何度も射精する%ANAME(MASTER)%を%ANAME(対象)%は笑顔で見下ろして、さらに射精を促していった…	%ANAME(TARGET)%笑着俯视着在过于强烈的快乐中多次射精的%ANAME(MASTER)%，并且催促着射精…
…%ANAME(対象)%の膣内があまりに気持ちいいのか、%ANAME(MASTER)%は絶えず射精を繰り返す	…是不是%ANAME(対象)%的阴道内太舒服了，%ANAME(MASTER)%不断重复射精
精液と愛液でトロトロの肉壷に捉えられたペニスを、まだまだ欲しいと激しいグラインドで腰を振り続ける	被精液和爱液变得黏糊糊的肉壶里抓住阴茎，在激烈的冲刺中继续摆动着腰
%ANAME(MASTER)%を犯している状況に恍惚の笑みを浮かべ、%ANAME(対象)%はさらに肉棒を膣内で刺激す。	在被%ANAME(MASTER)%侵犯的情况下露出了恍惚的笑容，%ANAME(対象)%进一步在阴道内刺激肉棒。
既に降りている子宮を亀頭の接触で感じながら、さらなる濃厚な種付けを求めてピストンを続けた…	在龟头接触到已经降下的子宫的同时，为了寻求更浓厚的配种而继续进行活塞运动…
…長く行為を続け、絶頂を何度もした二人ではあるが、止める気配は一向になく%ANAME(対象)%は腰を振り続ける	…两人持续了很长一段时间的动作，虽然已经多次达到了高潮，但却丝毫没有停止的迹象，%ANAME(対象)%继续挥着腰
目の前で淫らに腰を振る%ANAME(対象)%に魅せられ、%ANAME(MASTER)%はされるがままにペニスから射精を次々に吐き出していく	被在眼前淫荡地摆动着腰的%ANAME(対象)%所吸引，%ANAME(MASTER)%就这样从阴茎不断地吐出射精
一度身体を下す度に鈍い水音がなり、接合部からは入りきらない精液が溢れ出てくる	每次身体接触都会发出微弱的水声，从交合处溢出了无法进入的精液
しかしそれでも物足りないのか、%ANAME(対象)%はピストンを繰り返し新しい精液を求めていった…	但是即使这样也还是觉得有点欠缺，%ANAME(対象)%反复用活塞追求新的精液…
%ANAME(対象)%はギンギンに勃起した%ANAME(MASTER)%の肉棒を騎乗位の体勢で尻穴に飲み込む	%ANAME(対象)%用骑乘位的姿势把银勃起的%ANAME(MASTER)%的肉棒吞进了屁股洞里
%ANAME(対象)%の尻穴に%ANAME(MASTER)%のペニスが音を立てて入っていく	%ANAME(MASTER)%的阴茎发出声音进入%ANAME(対象)%的屁股孔
「はぁんっ♥　 ちょ、っと♥　……いきなり突き上げないで……んぁあっ♥♥」	「哈酱♥等一下♥　……不要突然推上去……嗯啊啊♥♥」
%ANAME(MASTER)%は腰を激しく上下させ連続で%ANAME(対象)%の尻穴を貫く	%ANAME(MASTER)%的腰激烈地上下连续地穿过%ANAME(対象)%的尻穴
「ま、まって♥　%ANAME(MASTER)%っ♥……もう少しゆっくり……ぁあっ♥」	「等一下♥%ANAME(MASTER)%♥……再慢一点……啊啊啊♥」
「%ANAME(MASTER)%のが、熱くて、硬くてぇっ……♥」	「%ANAME(MASTER)%的，又热又硬……♥」
コツンとS字直腸に亀頭が当たる感触に悲鳴のような声で%ANAME(対象)%はよがり熱い中出しを求めていった…	龟头碰上S字直肠的感觉时发出悲鸣般的声音，%ANAME(対象)%在灼热中寻求出…
%ANAME(対象)%は腰をぐるぐると回転させ始める	%ANAME(対象)%开始转动腰部
前後左右、上下と不規則に動かし、%ANAME(MASTER)%の快感を増大させる	前后左右，上下不规则地活动，增加%ANAME(MASTER)%的快感
「んっ……ふふっ、ねぇ、またお尻の中で大きくなってますよ？」	「嗯……呵呵，呐，又在屁股里变大了呢？」
%ANAME(対象)%は荒い息遣いをしながら欲情しきった笑みを浮かべ、自ら腰を動かし肉棒をS字直腸に当てて中出しを誘う	%ANAME(対象)%一边喘着粗气，一边露出充满欲望的笑容，自己动着腰，把肉棒贴在S字直肠上，引诱她从中出来
%ANAME(対象)%は自分の胸とクリトリスを弄りながら積極的に腰を動かしている	%ANAME(対象)%一边玩弄着自己的胸部和剪发一边积极地活动着腰
%ANAME(対象)%のもう片方の胸に手を伸ばし、乳首を弄りながら%ANAME(MASTER)%も腰を動かす	将手伸向%ANAME(対象)%的另一边的胸，一边玩弄乳头一边%ANAME(MASTER)%也动了腰
「んぁあっ♥ やっ♥　だめ、気持ち良過ぎて……もう♥　……ぁああっ♥♥」	「嗯啊啊♥ 哎呀♥不行，太舒服了……已经♥　……啊啊啊啊♥♥」
%ANAME(MASTER)%を犯しているような感覚に欲情して、%ANAME(対象)%はさらに肉棒をS字直腸で刺激する	%ANAME(対象)%感觉到自己犯了%ANAME(MASTER)%，于是用S字直肠刺激肉棒
%ANAME(MASTER)%はそのまま%ANAME(対象)%の直腸へと射精した	%ANAME(MASTER)%就那样射精了%ANAME(対象)%的直肠
「ははぁん、またお尻の穴に出すのですか…？？」	「哈哈，又放在屁股洞里了吗…？？」
「どうせいつもの事…」	「反正总是这样…」
「一緒に……♥？」	「一起……♥？」
%ANAME(対象)%は止めとばかりにイったばかりのアヌスをさらに強く締め上げ、射精と同時に再び絶頂に達した……	%ANAME(対象)%更加强烈地勒紧了刚刚被阻止的阿努斯，在射精的同时再次达到了顶峰……
「ははぁん、またお尻の穴に出すのですか…？」	「哈哈，又放到屁股洞里了吗…？」
「イッて良いですよ…この変態さん♥」	「可以的…这个变态♥」
%ANAME(対象)%は止めとばかりにアヌスをさらに強く締め上げた……	%ANAME(対象)%欲罢不能般地将阿努斯紧紧地系上……
「は…んっ……！貴方のせいですっかりお腹が灼けたようね…♥」	「哈…嗯……！都怪你，我的肚子都烧焦了…♥」
%ANAME(対象)%の尻穴は既に門としての役割を放棄し、ぽっかり開いたまま精液を垂れ流している……	%ANAME(対象)%的屁股孔已经放弃了作为门的作用，滴答着精液……
「すっかり、下の口でも飲み干せるようになってしまったわね…♥」	「已经完全可以用下面的嘴喝光了呢…♥」
%ANAME(対象)%は精液を撹拌して音を立てるお腹を、満足気に擦っている……	%ANAME(対象)%把搅拌精液发出声音的肚子，用满足的心情摩擦着……
「あぅ…っ、尻に…力がはいらない………」	「啊…嗯，屁股上…力量不足………」
アナルセックスで緩んだ%ANAME(対象)%の肛門から精液が零れ落ちた……	由于肛门性关系松弛了的%ANAME(対象)%的肛门中精液流出了……
「はぅ……っ、尻穴が灼けそう……」	「哈……嗯，屁股孔好像要被灼烧了……」
%ANAME(対象)%は、粘液が腸内を満たしていく感覚に快楽を覚えつつあるようだ……	%ANAME(対象)%似乎正在从粘液充满肠内的感觉中逐渐感受到快乐……
%ANAME(MASTER)%は%ANAME(対象)%を押し倒し、%ANAME(対象)%の秘裂にペニスを突き入れ腰を動かした…	%ANAME(MASTER)%推倒了%ANAME(対象)%，将阴茎刺入%ANAME(対象)%的秘裂，动了腰…
「この姿勢だと……私があなたを好きに出来ないから、ちょっと残念ね」	「这个姿势的话……我不能喜欢你，有点遗憾」
%ANAME(対象)%に好きにされるのもそれはそれでいいが、いつまでもマグロでいるわけにもいかない	被%ANAME(対象)%喜欢也是可以的，但也不能永远是金枪鱼
%ANAME(MASTER)%は腰を激しく動かし始める	%ANAME(MASTER)%开始剧烈地活动腰
「んぅっ♥　はげ、しっ♥　やぁんっ♥」	「嗯♥秃子，嘘♥哎呀♥」
%ANAME(対象)%が手をこちらに伸ばしてきた	%ANAME(対象)%向这边伸出手
その手を握ってあげると%ANAME(対象)%も握り返してくる	握住那只手的话%ANAME(対象)%也会回来
%ANAME(MASTER)%も%ANAME(対象)%と繋がっている幸福を噛み締めながらスパートをかけた	%ANAME(MASTER)%也和%ANAME(対象)%紧紧相连，一边咀嚼着幸福一边冲刺
「んぁあっ♥　%ANAME(MASTER)%っ♥　%ANAME(MASTER)%っ♥」	「嗯啊啊♥%ANAME(MASTER)%♥%ANAME(MASTER)%♥」
「んぁ♥、ぁぁあああ～～～っ♥♥♥」	「嗯啊♥、啊啊啊～～♥♥♥」
「んっ♥……%ANAME(MASTER)%のがっ♥　はいって、くるっ♥」	「嗯♥……%ANAME(MASTER)%之源♥嗯，嗯♥」
%ANAME(対象)%は自分の膣内で%ANAME(MASTER)%のペニスを感じているようだ	%ANAME(対象)%似乎在自己的阴道内感受到了%ANAME(MASTER)%的阴茎
「ぁはっ♥、すごい……大きくて、熱い……♥」	「啊哈哈♥好厉害……又大又热……♥」
%ANAME(MASTER)%はペニスを速いテンポで膣内を抽挿しつつ、空いた口で%ANAME(対象)%の乳首に吸いつく	%ANAME(MASTER)%快速地在阴茎内抽插阴茎，用空着的嘴吸着%ANAME(対象)%的乳头
「ふぁっ♥　んっ♥　んっあっ♥　ぁ♥　あはっ♥」	「啊啊啊♥嗯♥嗯，啊♥啊♥啊哈哈♥」
貪るように乳首を吸う%ANAME(MASTER)%に快楽攻めにされ、%ANAME(対象)%はもっと快楽を得ようと%ANAME(MASTER)%の腰に脚を絡めた…	被贪婪地吮吸乳头的%ANAME(MASTER)%攻击了快乐，%ANAME(対象)%为了得到更多快乐而将脚缠在了%ANAME(MASTER)%的腰上…
「ね、動いて……貴方を、もっと感じさせて……♥」	「喂，移动一下……让我更加感受到你……♥」
%ANAME(対象)%の言葉を聞いて%ANAME(MASTER)%は寝そべる%ANAME(対象)%の下半身を持ち上げ、%ANAME(MASTER)%が上から打ち付けるようにストロークする	听了%ANAME(対象)%的话，%ANAME(MASTER)%举起了睡着的%ANAME(対象)%的下半身，%ANAME(MASTER)%从上面打过来
「ぁ♥　はぁんっ♥　カ、カリで、えぐられるぅっ♥」	「啊♥哈酱♥卡，钾，可以挖♥」
「いいのぉ♥　もっと、激しくうごいてぇ♥　ああぁっ♥」	「可以吗♥更加激烈地行动吧♥啊啊啊啊啊♥」
「んぁっ♥　あ、あっ♥　ふぁあっ♥」	「嗯啊啊♥啊，啊♥啊啊啊啊♥」
%ANAME(MASTER)%は小刻みにピストン運動を続ける	%ANAME(MASTER)%一点一点地持续着活塞运动
愛液で満ちた%ANAME(対象)%の肉壷を、覆いかぶさる%ANAME(MASTER)%は熱い肉棒で犯し続ける	用热肉棒将充满爱液的%ANAME(対象)%的肉壶覆盖起来的%ANAME(MASTER)%继续犯下
「%ANAME(MASTER)%の……膣内でどんどん大きくなって、る♥」	「%ANAME(MASTER)%的……在阴道内渐渐变大♥」
「ねぇ♥　そろそろイキそう……？ 私も、もうっ♥」	「喂♥差不多该开始了……？我也要♥」
その言葉を聞いた%ANAME(MASTER)%は一際深く奥へとペニスを突き入れた	听到这句话的%ANAME(MASTER)%更深地刺进了阴茎
