%ANAME(対象)%の元を訪れると、サンタ帽を被った青髪でショートヘアーの女性が居た	拜访了%ANAME(対象)%，看到一位戴着圣诞帽的蓝色短发的女性。
部屋の主が%ANAME(MASTER)%に気付くと声を掛けてくる	屋主一看到%ANAME(MASTER)%，就打了招呼
%ANAME(対象)%はいつもよりも緊張した様子で戻ってきた	%ANAME(対象)%回来时的样子明显比平时更紧张
それを察した%ANAME(MASTER)%は愛の言葉をささやきながら尻穴を愛撫する	察觉到这一点的%ANAME(MASTER)%一边轻声细语着爱的话语一边爱抚着尻穴
しばらくしてリラックスした様子で%ANAME(対象)%は%ANAME(MASTER)%を抱きしめ耳元でつぶやく	过了一会儿，%ANAME(対象)%似乎放松了下来，抱着%ANAME(MASTER)%在耳边嘟囔着
「そ、その…もう多分大丈夫だから…」	「那、那个…大概已经没问题了…」
少しこもった匂いを放つ%ANAME(対象)%の尻穴には既に%ANAME(MASTER)%の指が4本ほど入るくらい解れていた	散发着些许幽香的%ANAME(対象)%的屁股洞里，已经有四根%ANAME(MASTER)%的手指了
「んぁ、ぁぁあああ～～～やっぱり恥ずかしい……っ！」	「嗯，啊啊啊～～果然好害羞……嘿！」
自らの尻穴に指が入る様子を見て%ANAME(MASTER)%は気恥ずかしくなり、目を逸らし両手でシーツを握りしめている	看到手指伸进自己屁股洞的样子，%ANAME(MASTER)%难为情地移开视线，双手紧紧地握着床单
%ANAME(MASTER)%はペニスをゆっくりと先端だけ%ANAME(対象)%の尻穴へ入れていく…	%ANAME(MASTER)%慢慢地将阴茎前端放入%ANAME(対象)%的尻穴…
念入りに解していたが%ANAME(対象)%の締め付けはきつく体はまだ緊張している	虽然很仔细地理解了要做的事，但是%ANAME(対象)%的身体还是绷紧了。
異物感に慣れないでいる%ANAME(対象)%を見かねて%ANAME(MASTER)%は雑談し始めた	%ANAME(MASTER)%和不习惯异物感的%ANAME(対象)%开始了闲聊
唐突な雑談であったが%ANAME(対象)%も受け答えをしているうちに緊張が再度完全に解れ、	虽然是突然的闲谈，但是%ANAME(対象)%也在回答的过程中再次完全解除了紧张感
「…動いて」	「…动起来咯」
%ANAME(対象)%の尻穴へとゆっくり上下にピストンしていく	慢慢地在%ANAME(対象)%的后穴做着上下活塞运动
「(これ…普段よりスローな感じで……好きかも…)」	「（这个…比平时慢的感觉……可能会喜欢上…)」
%ANAME(対象)%は自ら尻穴を広げ、%ANAME(MASTER)%を受け入れる態勢をとった	%ANAME(対象)%自己张开屁股洞，准备好接受%ANAME(MASTER)%
それを%ANAME(MASTER)%は愛おしく感じ軽くキスをしながら、ゆっくりペニスを挿入した	%ANAME(MASTER)%觉得很可爱，轻轻地吻了一下，然后慢慢地插入阴茎
「うっ…、あっ…、はぁん…」	「嗯…啊…、哈…」
悩ましい声をあげながら、身体を仰け反らせる%ANAME(対象)%	%ANAME(対象)%仰着身体，发出了苦闷的声音
ペニスをゆっくり出し入れし、感じる%ANAME(対象)%の表情を楽しむ	慢慢地拔出阴茎，有感受了的%ANAME(対象)%变成了享受的表情
肉棒を深く入れるたびに、その表情が幸せそうな表情へ移っていく	每次把肉棒插入更深的地方，那个表情就会变成幸福的表情
ゆっくりだった腰の動きを少しずつ早め、深く、浅く、また強弱をつけてせめ続ける	慢慢的腰的动作一点一点地加快，一深，一浅，忽强忽弱地持续着
「んん、あぁぁあっ～～～……！」	「嗯，啊啊～～……！」
恍惚の表情で%ANAME(対象)%は軽く震えている	恍惚的表情使%ANAME(対象)%微微颤抖
「あ、ぁ、んぁあっ！ ふぁ、はぁあんっ！」	「啊、啊、啊啊！啊，哈哈！」
「%ANAME(MASTER)%っ……！ んぁっ、大好き……ぁあんっ！」	「%ANAME(MASTER)%……！嗯，最喜欢了……啊啊！」
「一番気持ちいいとこに擦れて……んんっ！」	「擦到最舒服的地方……嗯！」
「%ANAME(MASTER)%のが……！」	「%ANAME(MASTER)%的……！」
「%ANAME(MASTER)%ので…いっぱいに…してっ！」	「因为%ANAME(MASTER)%的…把我…填满吧！」
「後ろから…は慣れているのだけれど…」	「从后面…虽然已经习惯了…」
%ANAME(対象)%の尻穴はすっかり解れて%ANAME(MASTER)%のペニスを受け入れる準備が出来ている	%ANAME(対象)%的屁股孔已经完全张开，准备好接受%ANAME(MASTER)%的阴茎
ペニスを挿入しようと%ANAME(対象)%の尻を撫でまわすように掴む	%ANAME(対象)%渴望被阴茎插入，来回摸着自己的屁股
挿入の期待からか%ANAME(対象)%の秘穴から透明な液が僅かに流れ始めている	不知是不是因为对插入的期待，透明的液体从%ANAME(対象)%的秘穴慢慢开始流出
「…ねぇ、いつ入れるの…？」	「…呐，什么时候放进去呢…？」
%ANAME(対象)%の尻を視姦し楽しんでいたが、焦らされ物欲しそうな声にペニスは一段と硬くなる	开心地享受着视奸%ANAME(対象)%屁股的乐趣的同时，被她那焦急而又贪婪的声音弄得阴茎勃起了
%ANAME(MASTER)%はゆっくりと尻穴へとペニスを挿入していく	%ANAME(MASTER)%慢慢地将阴茎插入尻穴
「んっ……はいって、きてる……」	「嗯……进，进来了……」
突然撫でられて驚いたらしい、尻穴がペニスをぎゅうぎゅうと締め付けてくる	好像是突然被抚摸吓了一跳，屁股孔紧紧地夹住了阴茎
それに対し感じ易くなった%ANAME(対象)%が震える	相对的，能更容易地感觉到%ANAME(対象)%的颤抖
再び少しずつ早め、深く、浅く、また強弱をつけて腰を前後に動かす	再稍早一点，深一点，浅一点，再加上强弱前后移动腰
%ANAME(MASTER)%も腰を動かし始める	%ANAME(MASTER)%也开始动起腰来
%ANAME(対象)%は壁に手をついて%ANAME(MASTER)%のペニスを受け入れている	%ANAME(対象)%用手托着墙壁接受了%ANAME(MASTER)%的阴茎
「こうして見つめ合うと……普段より恥ずかしいですねぇ…」	「这样互相凝视的话……比平时更害羞呢…」
「…その…この体位は初めてだから、優しくして…ね？」	「…那个…因为是第一次用这样的体位，所以请温柔点…好吗？」
「んっ、ぁっ……あっ、はぁんっ！」	「嗯，啊……啊，哈哈！」
「んはぁっ！」	「嗯哈！」
「は、ぁっ……%ANAME(MASTER)%……っ」	「哈，啊……%ANAME(MASTER)%……嗯」
「ふふっ、ねぇ……これはどう？ 気持ちいい？」	「呋呋，呐……这个怎么样？舒服吗？」
「ふふ、気持ち良さそうね……んっ、あっ……」	「呋呋，感觉很舒服呢……嗯，啊……」
「んぅっ、ぁはぁっ！ ん、やぁあっ……！」	「嗯，啊啊！嗯，哎呀……！」
「んぅっ……ぁ、はぁっ……」	「嗯……啊，哈……」
「%ANAME(MASTER)%っ……私、きちゃうぅっ……！」	「%ANAME(MASTER)%……我、要……！」
「ふぁ、ぁああんっ！」	「啊，啊啊！」
「んっ……くっ、はぁっ……」	「嗯……呜、哈……」
「もっと、きて……もっと、激しくっ……！」	「再来一点……更加、激烈……！」
%ANAME(対象)%は脚を絡めてきて密着を求める	%ANAME(対象)%用脚缠住想要贴得更紧一些
尻穴がキュッと締まって%ANAME(MASTER)%のペニスを圧迫する	屁股孔紧紧压迫着%ANAME(MASTER)%的阴茎
負けじと腰ごと体をを寄せる%ANAME(MASTER)%	%ANAME(MASTER)%不服输般地用身体紧贴着腰部
密着させながらパンパンと淫らな音が響かせる	紧贴的同时发出了啪啪的下流的声音
「ぁ、あっ、%ANAME(MASTER)%……んんっ！」	「啊，啊，%ANAME(MASTER)%……嗯！」
「ふふっ……遠慮しないでいいのですよ？ もっと……」	「呋呋……不用客气？更多……」
「激しく……動いて？ ……んむっ」	「激烈地……动起来……嗯」
%ANAME(対象)%はそう言って腰をうねらせながらキスをしてきた	%ANAME(対象)%这样说着的同时一边扭着腰一边接吻
%ANAME(MASTER)%は腰の動きを速くして応えた	%ANAME(MASTER)%快速地回应了腰的动作
「んぁあっ！ そう、もっと、動いてぇっ！ はぁあんっ！」	「嗯啊啊！是的，再多动一下！哈啊！」
「んぁあっ！ %ANAME(MASTER)%の……熱い、のぉ……！」	「嗯啊啊！%ANAME(MASTER)%的……好烫啊……！」
「んはぁっ……！ あ、そこぉ……」	「嗯哈哈……！啊，那里啊……」
「後ろから…は慣れているのだけれど……息が近い、興奮し過ぎですよ」	「从后面…虽然已经习惯了……气息好近，这样感觉太兴奋了」
「んぁあぅっ！ ぁ、ふぁあんっ！」	「嗯啊啊！啊，嗯！」
%ANAME(対象)%のお尻の中がキュッと締まり、ペニスの挿入を拒もうとする	%ANAME(対象)%的屁股里紧紧地勒紧，拒绝插入阴茎
「や、はぁんっ、すご、こんなの……おかしく…なっ！」	「呀，哈啊，好厉害，这样的……好…奇怪！」
「んっ、ぁあっ！ 気持ち、いいっ……！」	「嗯，啊！好舒服……！」
「ぁっ、んぁっ……ねぇ、ここも……ね？」	「啊，嗯……呐，这里也……对吧？」
%ANAME(対象)%の胸を上下左右に不規則にこねくり回す	%ANAME(対象)%的胸部被上下左右不规则地揉搓着
「んっ、ぁ、はぁんっ……」	「嗯，啊，哈……」
「きゃっ！ い、いきなりはげしく、しないでっ……！」	「呀！喂，不，不要突然变得、这么激烈啊……！」
%ANAME(対象)%の胸を揉んでいると我慢がきかなくなり、腰の動きを早める	%ANAME(対象)%的胸被揉搓着，渐渐变得无法忍耐，加快了腰的动作
「っくぅ、はぁぁああんっ！」	「嗯，啊啊啊啊！」
「んぁっ、はぁっ、……ねぇ、今度は私が動くから」	「啊，哈……呐，这次让我来动吧」
「あぁっ、貴方のが、お尻の…なかでっ……！」	「啊，你的，屁股的…里面……！」
「%ANAME(MASTER)%、んぁっ、%ANAME(MASTER)%……！」	「%ANAME(MASTER)%、嗯、%ANAME(MASTER)%……！」
「んっ、はげし、ぁあっ！」	「嗯，太强烈了，啊！」
後ろから%ANAME(対象)%を抱きしめて腰を動かす	从背后抱着%ANAME(対象)%动了腰
「すご、ぉいっ……奥に、当たってる……！」	「好厉害，好厉害……里面，进去了……！」
「ぁっ、あっ……ひぅぅううんっ！」	「啊，啊……嗯，嗯！」
「やっ、おっぱい……揉まないで、感じちゃうからぁ……！」	「胸部……不要揉了啦，要有感觉了……！」
「や、だめぇ、お尻と、おっぱい同時に、なんてっ……！」	「呀啊，不行，屁股、胸部同时，什么的……！」
「あっ、ぁ……！」	「啊，啊……！」
「自分からって……なんだか変態の仲間入りをしたような気分ですねぇ…」	「自己动……总觉得好像加入了变态的队伍呢…」
「…その…この体位は初めてだから、ゆっくり…ね？」	「…那个…因为这个体位是第一次，所以慢慢地…好吗？」
%ANAME(対象)%はゆっくりと尻穴へとペニスを挿入していく	%ANAME(対象)%慢慢地将阴茎插入尻穴
%ANAME(対象)%は尻穴へとゆっくり上下にピストンしていく	%ANAME(対象)%慢慢地上下运动着
「(これ…奥に入ってきて……好きかも…)」	「（这个…进到里面来……可能喜欢…)」
%ANAME(対象)%の尻穴に%ANAME(MASTER)%のペニスが音を立てて入っていく	%ANAME(MASTER)%的阴茎发出声音进入%ANAME(対象)%的屁股孔
「はぁんっ♥　 ちょ、っと♥　……いきなり突き上げないで……んぁあっ♥♥」	「哈啊♥等，等一下♥　……不要突然顶上去……嗯啊啊♥♥」
%ANAME(MASTER)%は腰を激しく上下させ連続で%ANAME(対象)%の尻穴を貫く	%ANAME(MASTER)%的腰激烈地上下运动，连续地贯穿着%ANAME(対象)%的尻穴
「ま、まって♥　%ANAME(MASTER)%っ♥……もう少しゆっくり……ぁあっ♥」	「等一下♥%ANAME(MASTER)%♥……再慢一点……啊啊啊♥」
「%ANAME(MASTER)%のが、熱くて、硬くてぇっ……♥」	「%ANAME(MASTER)%的，又热又硬……♥」
コツンとS字直腸に亀頭が当たる感触に悲鳴のような声で%ANAME(対象)%はよがり熱い中出しを求めていった…	“咚”的一声，龟头碰在S字直肠上的触感，让%ANAME(対象)%发出了悲鸣般声音的同时渴求着炽热的中出
%ANAME(対象)%は腰をぐるぐると回転させ始める	%ANAME(対象)%开始转动腰部
前後左右、上下と不規則に動かし、%ANAME(MASTER)%の快感を増大させる	前后左右，上下不规则地活动，增加%ANAME(MASTER)%的快感
「んっ……ふふっ、ねぇ、またお尻の中で大きくなってますよ？」	「嗯……呋呋，呐，又在屁股里变大了呢？」
%ANAME(対象)%は荒い息遣いをしながら欲情しきった笑みを浮かべ、自ら腰を動かし肉棒をS字直腸に当てて中出しを誘う	%ANAME(対象)%一边喘着粗气，一边露出充满欲望的笑容，自己动着腰，把肉棒贴在S字直肠上，引诱她从中出来
%ANAME(対象)%は自分の胸とクリトリスを弄りながら積極的に腰を動かしている	%ANAME(対象)%一边责弄着自己的胸部和剪发一边积极地活动着腰
「んぁあっ♥ やっ♥　だめ、気持ち良過ぎて……もう♥　……ぁああっ♥♥」	「嗯啊啊♥ 哎呀♥不行，太舒服了……已经♥　……啊啊啊啊♥♥」
%ANAME(MASTER)%を犯しているような感覚に欲情して、%ANAME(対象)%はさらに肉棒をS字直腸で刺激する	%ANAME(対象)%感觉到自己犯了%ANAME(MASTER)%，于是用S字直肠刺激肉棒
「はぁんっ！ ちょ、っと……いきなり突き上げないで……んぁあっ！」	「哈哈！等一下……不要突然推上去……嗯啊啊！」
「ま、まって、%ANAME(MASTER)%……もう少しゆっくり……ぁあっ！」	「嘛，等等，%ANAME(MASTER)%……再慢一点……啊啊！」
「やっ、すご、い……奥まで、届いてるぅ……！」	「啊，好厉害，好厉害……里面，进去了……！」
「%ANAME(MASTER)%のが、熱くて、硬くてぇっ……！」	「%ANAME(MASTER)%的，又热又硬……！」
「んんっ……ぁあんっ！」	「嗯……啊啊！」
「この体位、私がリード出来るから結構好きかも……」	「这个体位，因为我能领导所以可能很喜欢……」
「ほら、これなんかどう？ うりうりっ」	「看，这个怎么样？售货员」
「ははぁん、もっと気持ち良くさせてあげるわね……」	「哈哈，我会让你更舒服的……」
「はっ、ぁあっ！ %ANAME(MASTER)%……！」	「啊，啊！%ANAME(MASTER)%……！」
「あぁっ……気持ちいい、%ANAME(MASTER)%……」	「啊……好舒服，%ANAME(MASTER)%……」
「んぁあっ！ やっ、だめ、気持ち良過ぎて……もう……ぁああっ！」	「嗯啊啊！啊，不行，太舒服了……已经……啊啊啊！」
「あっ、ぁあっ、%ANAME(MASTER)%、好き、大好きぃっ……！」	「啊，啊，%ANAME(MASTER)%，喜欢，超喜欢……！」
「は、ぁあんっ！ も、もう、だめ、イッちゃいそう……！」	「哈，啊！也、已经、不行了、快要死了……！」
「はっ、んぁっ、ぁぁぁあああっ……！」	「哈、嗯、啊啊啊啊啊啊啊……！」
横向きに寝そべる%ANAME(対象)%のアナルに%ANAME(MASTER)%のペニスが音を立てて入っていく	%ANAME(MASTER)%的阴茎发出声音进入了侧睡的%ANAME(対象)%的肛门
%ANAME(MASTER)%は%ANAME(対象)%のアナルへとゆっくりストロークを始める	%ANAME(MASTER)%慢慢地开始向%ANAME(対象)%的肛门击球
ぐちゃぐちゃと接合部から腸液を垂れ流しながら、%ANAME(対象)%は腸壁を抉られる感覚に酔い痴れている	粘糊糊地从结部滴下肠液，%ANAME(対象)%被剜肠壁的感觉迷住了
ゴリゴリと腸壁に亀頭が当たる感触に悲鳴のような声で%ANAME(対象)%はよがった	龟头碰在大猩猩和肠壁上的触感发出悲鸣般的声音，%ANAME(対象)%随之改变
ストロークをしながら尻を愛撫してやると、奥からとろとろと腸液が溢れ出してきた	一边划桨一边爱抚屁股，从里面慢慢地流出了肠液
%ANAME(対象)%の尻穴は、襞を艶かしく蠢かせて%ANAME(MASTER)%のペニスをきゅんきゅんと抱き締めてきた	%ANAME(対象)%的屁股孔，让褶艳丽地蠢动紧紧地抱住了%ANAME(MASTER)%的阴茎
狭い腸内で肉棒を絞めつけ、%ANAME(MASTER)%は長いストロークで腰を縦にゆっくり振っていく	在狭窄的肠内勒紧肉棒，%ANAME(MASTER)%用长的一击直直直地摆动着腰
%ANAME(対象)%は自分のアナルで%ANAME(MASTER)%のペニスを感じているようだ	%ANAME(対象)%在自己的肛门里感觉到了%ANAME(MASTER)%的阴茎
「%ANAME(MASTER)%の……アナルでどんどん大きくなって、る♥」	「%ANAME(MASTER)%的……在肛门越来越大♥」
腰を打ちつけた後、アナルからゆっくりとペニスが抜ける直前まで腰を引く	腰部结束撞击后，竖直腰，从肛门内缓缓拔出阴茎
「ぁ、はぁんっ、お腹の中で、うごいてるぅっ……」	「啊，哇啊啊，在肚子里、动起来了……」
「%ANAME(MASTER)%の……お腹の中でどんどん大きくなって、る……」	「%ANAME(MASTER)%的……在肚子里越来越大了……」
「んぁあぅっ！ %ANAME(MASTER)%のが、お腹の中で擦れて……！」	「嗯啊啊！%ANAME(MASTER)%的，在肚子里摩擦……！」
「お"、ぁっ"♥　……%ANAME(MASTER)%……っ♥」	「哦，啊"♥　……%ANAME(MASTER)%……嗯♥」
%ANAME(MASTER)%のペニスの長さに合わせて腰を振る幅を調整し、テンポよく腸壁で勃起する男根を貪る	配合%ANAME(MASTER)%阴茎的长度调整摆动腰的幅度，贪图在肠壁勃起的男根
アナルがキュッと締まって%ANAME(MASTER)%のペニスを圧迫する	肛门紧紧压迫着%ANAME(MASTER)%的阴茎
ゆっくりと%ANAME(対象)%の腸壁にペニスを出し入れをする	慢慢地从%ANAME(対象)%的肠壁里拔出阴茎
上下に動く度に腸壁に当たるカリの快感に、お互い身体を小さく痙攣させる	每次上下移动都能感觉到肠壁上的龟头的快感，让身体小小地痉挛
接合部から響く卑猥な水音に興奮しつつ、%ANAME(MASTER)%は射精が近い肉棒で腸壁を叩き始めた…	在兴奋于从交合处传来的猥亵水声的同时，%ANAME(MASTER)%开始用接近射精的肉棒撞击着肠壁…
「お尻の奥に、コツコツ当たって……！」	「在屁股的深处，噗呲噗呲地撞着……！」
「きゃぅっ！ や、お尻の中で擦れて……！」	「啊！呀，在屁股里摩擦……！」
「これを付けるのですか…？」	「要戴上这个吗…？」
黒光りするペニスバンドを腰に取り付ける%ANAME(対象)%	%ANAME(対象)%把闪着黑色光芒的假阴茎安装在了腰上
自らが攻める側になるであろう予感に思わず顔がいつものニヤケ顔になっていく	预感到自己会成为进攻的一方，脸上不由自主地露出了惯有的笑容
「さてさて、今度は私があなたをヒィヒィ言わせてあげますよ…」	「那么，这次轮到我让你发出不堪的呻吟了…」
指を口に咥え唾液で濡らし、その指で"生えた"ペニスをコーティングしていく	把手指伸到嘴里用唾液弄湿，涂到"长出的"阴茎上
自身のカリを指先で弄りながら%ANAME(対象)%は挿れる穴を求めている…	%ANAME(対象)%一边用指尖责弄着自己的龟头，一边寻找着被插的孔…
激しいストロークしながら、%ANAME(対象)%は首をこちらに向かせてキスをおねだりする	在经行激烈冲刺时，%ANAME(対象)%将头朝向这边请求接吻
%ANAME(対象)%のアナルがキュッと締まり、ペニスの挿入を拒もうとする	%ANAME(対象)%的肛门紧闭着，阻止着阴茎的插入
「あぁっ♥　貴方のがっ♥　おなかでぇっ……♥」	「啊啊啊♥你的、嘎哈啊♥在肚子里、嗯……♥」
「や♥　だめぇ♥♥　おなかと♥　おっぱい同時に♥　なんてぇっ……♥♥♥」	「不♥不行♥♥肚子和♥胸部同时♥什么的……♥♥♥」
「ロ、ローター……？ こういうの使うの、その、初めてなのですが…」	「跳、跳蛋……？用这种东西，还是第一次…」
「ちょっと、不安……んぁっ！」	「有点不安……嗯！」
「ロ、ローター……？ こういうの使うの？」	「跳、跳蛋……？这样用吗？」
「ちょっと、不安ですねぇ…」	「有点不安呢…」
%ANAME(MASTER)%は%ANAME(対象)%の陰核にローターの振動を当てている	%ANAME(MASTER)%把振动的跳蛋放在%ANAME(対象)%的阴核上
「ふ、ふるえてぇ♥　きもちいいのぉ♥♥」	「呼、震动着的♥舒服、好棒♥♥」
%ANAME(対象)%の弱いところを執拗に攻める%ANAME(MASTER)%	%ANAME(MASTER)%执拗地攻击%ANAME(対象)%的弱点
首筋にローターを這わせると、%ANAME(対象)%はゾクゾクと身をよじらせた	当跳蛋在她的脖子上震动时，%ANAME(対象)%的身体就开始扭来扭去
そのまま胸や陰核をローターで愛撫する	就这样用跳蛋爱抚着胸部和阴核
%ANAME(対象)%は%ANAME(MASTER)%のローターから与えられる緩めの快感に身を委ねている	%ANAME(対象)%的身体臣服于%ANAME(MASTER)%的跳蛋所带来的放松的快感
「…っ…んっ…あっ……♥」	「…嗯…嗯…啊……♥」
「……本当に…？」	「……真的…？」
「…わ…分かったけど…えぇ…うん」	「…哇…虽然知道了…诶…嗯」
「あの、ね…私、最初は…%ANAME(MASTER)%に捧げたいの…」	「那个…我、一开始是…想要献给%ANAME(MASTER)%的…」
「その…確かに気持ちの問題かもしれないけど…」	「那个…确实可能是心情的问题…」
「…分かりました…が、後でとことん抱いて頂きますからね」	「…我明白了…但是，之后我会紧紧抱住你的」
「私が好きなのは、こんな玩具じゃなくて貴方なのですから…」	「我喜欢的不是这种玩具而是你…」
%ANAME(MASTER)%はゆっくりと%ANAME(対象)%の中へバイブを侵入させた…	%ANAME(MASTER)%慢慢地让振动棒侵入%ANAME(対象)%的体内…
「はぁ、はぁ……ん、あっ…んぅぅ……痛っ……」	「哈、哈……嗯，啊…嗯……好痛……」
「んっ……やっ……あっ、っああぁ…っ！」	「呜呜、好，强烈……呀啊……啊，啊啊啊…嘿！」
「……入った、の……？ うぅ、こんな初めて……」	「……进去了，的……？嗯，这样的第一次……」
%ANAME(MASTER)%がバイブを前後させると%ANAME(対象)%の破瓜の血が溢れ出てきた…	当%ANAME(MASTER)%把振动棒前后运动时，%ANAME(対象)%的破瓜的血溢了出来…
「い……嫌っ！　そんなの……あぁっ！」	「不……不要！那样的……啊啊！」
抵抗する%ANAME(対象)%を押さえて、%ANAME(MASTER)%はバイブを侵入させた…	%ANAME(MASTER)%压制着抵抗的%ANAME(対象)%，让振动棒侵入…
「ぃ…た…っ！ やっ、痛い！ 駄目…ぁ、ああっ！」	「嗯……嘿！啊，好痛！不行…啊，啊！」
「はぁっ、はぁっ……ぅ、入ってる……こんなのが、初めてなんて……嫌ぁ……」	「哈、哈……嗯，进去了……第一次这样……不要啊……」
%ANAME(対象)%は泣き出してしまったが、%ANAME(MASTER)%にはもはや関係の無いことであった	%ANAME(対象)%哭了起来，但已经和%ANAME(MASTER)%没有关系了
「さ、流石に……少し抵抗が……」	「那个，果然还是……有点抗拒呢……」
%ANAME(対象)%は%ANAME(MASTER)%の持つイボ付きのバイブに戸惑いを見せながらも、おずおずと秘裂を開いた	%ANAME(対象)%虽然对%ANAME(MASTER)%的带有疣的振动棒感到困惑，但还是小心翼翼地打开了秘裂
思わずシーツを強く握り、体を緊張で固めてしまう	不由自主地用力抓着床单，身体因紧张而僵硬起来
%ANAME(MASTER)%はバイブのスイッチを入れた。　%ANAME(対象)%の膣内で振動が始まる	%ANAME(MASTER)%打开了振动的开关。%ANAME(対象)%的阴道内开始振动
「ひあっ！？な、何これ！？あ、あ、ああぁぁぁっ！？」	「噫啊！？什、这是什么！？啊，啊，啊啊啊！？」
膣内で暴れまわる衝撃に、%ANAME(対象)%は翻弄されている…	%ANAME(対象)%被阴道内暴走的冲击玩弄着…
「ん、……ぁあっ、やっぱり、こんなの、無理ぃっ……！」	「嗯……啊啊，果然，这样的，不行啊……！」
「まって、まだスイッチいれな……きゃぅっ！」	「等一下，先别打开开关……呀啊！」
%ANAME(MASTER)%がバイブをじゅぽっと引き抜くと、%ANAME(対象)%の秘部はひくひくと震えた…	%ANAME(MASTER)%轻轻地拔出了振动棒，%ANAME(対象)%的秘部微微颤动着…
「ふふ、次はあなたので…ね？」	「呋呋，接下来是你的…对吧？」
そう言って%ANAME(対象)%は妖しく笑みを浮かべている…	这样说着，%ANAME(対象)%脸上露出了妖艳的笑容…
「ふぁぁ……あっ♥　んっ、%ANAME(MASTER)%……」	「呼啊……啊♥嗯，%ANAME(MASTER)%……」
一度バイブを抜いてみると、引き抜きの余韻に浸りつつ%ANAME(対象)%が、ゆっくり身体を起こした	拔出了一次振动棒后，%ANAME(対象)%沉浸在抽出来的余韵中，慢慢地将站起身来
「ふふっ♥　%ANAME(MASTER)%だって……そろそろ挿れたいんじゃない？」	「呋呋♥%ANAME(MASTER)%也……是不是也该插进去了？」
%ANAME(対象)%が秘所を割り開いてみせると、溢れた愛液の塊が糸を引いて落ちていった……	%ANAME(対象)%打开了秘所，溢出的爱液成块儿的拉着线掉了下去……
「ちょっ…… そこ、弱っ♥　お”お”お”っ♥」	「等一下……那里，很弱♥哦，哦♥」
差し込んだバイブのスイッチを入れてやると、口の端から涎を垂らしながら陶然とした表情を浮かべた…	打开插入的振动棒的开关，嘴边流着口水边露出了陶醉的表情…
「や……あぁ♥　ぐりぐり……し、ないでぇ……感じるの♥　かんじるのぉ……♥」	「呀……啊啊♥咕哩咕哩的……做、不要做……有感觉了♥要有感觉了……♥」
「♥♥♥　くるっ♥　きちゃうっ♥　んはぁ……ああんっ♥♥♥」	「♥♥♥要♥要去了♥嗯……啊啊啊啊♥♥♥」
「んはぁ♥……ん、ふぁ……♥♥」	「嗯哈♥……嗯，嗯……♥♥」
バイブが抽送するたびにじゅぷ♥じゅぷ♥と、%ANAME(対象)%の秘所からは愛液が溢れている	随着振动棒抽送的颤音从%ANAME(対象)%的秘所里溢出了爱液
%ANAME(対象)%はなすがままに、バイブと振動の快楽を貪っている	%ANAME(対象)%顺从欲望，贪图着振动棒所带来的振动的快乐
「…っ♥　あっ♥　ねっ……ねぇ%ANAME(MASTER)%？」	「…嗯♥啊♥呐……%ANAME(MASTER)%？」
「もっとぉ……♥♥　乱暴に♥♥　めちゃくちゃにしてぇ♥♥」	「更加……♥♥粗暴地♥♥搞得乱七八糟♥♥」
おねだりする%ANAME(対象)%に、%ANAME(MASTER)%は挿していたバイブの振動を最大に上げた	对如此请求着的%ANAME(対象)%，%ANAME(MASTER)%把插入中的振动调高到最大限度
「お”お”お”っ♥　あ”あ”好きぃ”♥♥　気持ち良すぎて♥♥♥　ばかになっちゃう”う”う”♥♥♥♥♥♥」	「哦，哦♥啊"啊"好喜欢"♥♥这个太舒服了♥♥♥我要变成笨蛋的"呜噫噫"♥♥♥♥♥♥」
「ふぁぁ……あっ」	「呼啊……啊」
「ちょっ、%ANAME(MASTER)%…… そこ、震えて、ひゃぅ」	「等、%ANAME(MASTER)%……那里，震动，呀啊」
「ぁっ……ふぁ、ん」	「啊……嗯，嗯」
「んはぁ……ん、ふぁ……」	「嗯……嗯，嗯……」
「…っ…んっ…あっ……」	「…嗯…嗯…啊……」
「んっ……はぁ、はぁ……」	「嗯……哈、哈……」
「お尻の穴をほぐす為とはいえ…」	「虽说是为了扩张屁股的洞…」
「やはり少し抵抗がありますねぇ…」	「果然还是有点抵触啊…」
%ANAME(対象)%はいつもよりも緊張した様子でいる	%ANAME(対象)%比平时更紧张
少しこもった匂いを放つ%ANAME(対象)%の尻穴へとゆっくりバイブを挿していく	慢慢地将振动插入放出一点味道的%ANAME(対象)%的尻穴
「んん…これは…未知の領域過ぎて…」	「嗯…这是…实在超过了未知的领域…」
異物感と少し倒錯感で困惑した様子であったが尻穴はバイブをすんなり受け入れた	虽然有异物感和有点颠倒感，但屁股孔很容易地接受了振动
「それで…次は何をなさるのですか？」	「然后…接下来要做什么？」
%ANAME(対象)%の瞳には僅かながらも期待に帯びていた	%ANAME(対象)%的瞳眸中带着一丝期待
%ANAME(MASTER)%がバイブをじゅぽっと引き抜くと、%ANAME(対象)%の菊門はひくひくと震えた…	%ANAME(MASTER)%轻轻地拔出振动，%ANAME(対象)%的菊花门微微颤抖…
%ANAME(対象)%が菊門を割り開いてみせると、溢れた腸液の塊が糸を引いて落ちていった……	%ANAME(対象)%打开菊花门一看，溢出的肠液块拉着线掉了下去……
バイブが抽送するたびにじゅぷ♥じゅぷ♥と、%ANAME(対象)%の菊門からは腸液が溢れている	振动抽送的颤音♥教授♥从%ANAME(対象)%的菊花门中溢出了肠液
